"placa","estatus"
"261YHV","Adeudos"
"261YHW","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"261YHX","Adeudos"
"261YHZ","Sin adeudos"
"261YJA","Adeudos"
"261YJC","Sin adeudos"
"261YJD","Adeudos"
"261YJE","Sin adeudos"
"261YJF","Sin adeudos"
"261YJG","Adeudos"
"261YJH","Adeudos"
"261YJK","Sin adeudos"
"261YJM","Adeudos"
"261YJR","Sin adeudos"
"261YJT","Sin adeudos"
"261YJU","Sin adeudos"
"261YJV","Sin adeudos"
"261YJW","Placa anterior: 363XWP"
"261YJX","Placa anterior: 261YJX"
"261YJY","Sin adeudos"
"261YJZ","Adeudos"
"261YKA","El número de placa no se localizó en el padrón"
"261YKB","Adeudos"
"261YKC","Adeudos"
"261YKE","Sin adeudos"
"261YKF","Adeudos"
"261YKG","Sin adeudos"
"261YKH","Sin adeudos"
"261YKJ","Adeudos"
"261YKK","Adeudos"
"261YKL","Placa anterior: 261YKL"
"261YKN","Adeudos"
"261YKR","Adeudos"
"261YKS","Adeudos"
"261YKT","ERROR. Revisar Placa"
"261YKV","ERROR. Revisar Placa"
"261YKX","ERROR. Revisar Placa"
"261YKY","ERROR. Revisar Placa"
"261YKZ","ERROR. Revisar Placa"
"261YLA","ERROR. Revisar Placa"
"261YLB","ERROR. Revisar Placa"
"261YLC","ERROR. Revisar Placa"
"261YLD","ERROR. Revisar Placa"
"261YLG","ERROR. Revisar Placa"
"261YLH","ERROR. Revisar Placa"
"261YLJ","ERROR. Revisar Placa"
"261YLL","ERROR. Revisar Placa"
"261YLM","ERROR. Revisar Placa"
"261YLN","ERROR. Revisar Placa"
"261YLP","ERROR. Revisar Placa"
"261YLR","ERROR. Revisar Placa"
"261YLS","ERROR. Revisar Placa"
"261YLT","ERROR. Revisar Placa"
"261YLU","ERROR. Revisar Placa"
"261YLV","ERROR. Revisar Placa"
"261YLW","ERROR. Revisar Placa"
"261YMC","ERROR. Revisar Placa"
"261YMD","ERROR. Revisar Placa"
"261YMF","ERROR. Revisar Placa"
"261YMG","ERROR. Revisar Placa"
"261YMH","ERROR. Revisar Placa"
"261YMJ","ERROR. Revisar Placa"
"261YMK","ERROR. Revisar Placa"
"261YML","ERROR. Revisar Placa"
"261YMM","ERROR. Revisar Placa"
"261YMN","ERROR. Revisar Placa"
"261YMP","ERROR. Revisar Placa"
"261YMR","ERROR. Revisar Placa"
"261YMS","ERROR. Revisar Placa"
"261YMU","ERROR. Revisar Placa"
"261YMW","ERROR. Revisar Placa"
"261YMZ","ERROR. Revisar Placa"
"261YNA","ERROR. Revisar Placa"
"261YNC","ERROR. Revisar Placa"
"261YND","ERROR. Revisar Placa"
"261YNE","ERROR. Revisar Placa"
"261YNF","ERROR. Revisar Placa"
"261YNG","ERROR. Revisar Placa"
"261YNH","ERROR. Revisar Placa"
"261YNJ","ERROR. Revisar Placa"
"261YNK","ERROR. Revisar Placa"
"261YNR","ERROR. Revisar Placa"
"261YNS","ERROR. Revisar Placa"
"261YNT","ERROR. Revisar Placa"
"261YNU","ERROR. Revisar Placa"
"261YNW","ERROR. Revisar Placa"
"261YNX","ERROR. Revisar Placa"
"261YNY","ERROR. Revisar Placa"
"261YPB","ERROR. Revisar Placa"
"261YPC","ERROR. Revisar Placa"
"261YPD","ERROR. Revisar Placa"
"261YPE","ERROR. Revisar Placa"
"261YPG","ERROR. Revisar Placa"
"261YPJ","ERROR. Revisar Placa"
"261YPL","ERROR. Revisar Placa"
"261YPM","ERROR. Revisar Placa"
"261YPN","ERROR. Revisar Placa"
"261YPP","ERROR. Revisar Placa"
