"placa","estatus"
"249YTY","Adeudos"
"249YTZ","Adeudos"
"249YUA","Adeudos"
"249YUB","Adeudos"
"249YUC","Sin adeudos"
"249YUD","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"249YUE","Adeudos"
"249YUF","Sin adeudos"
"249YUG","Adeudos"
"249YUH","Sin adeudos"
"249YUJ","Adeudos"
"249YUM","Adeudos"
"249YUN","Sin adeudos"
"249YUP","Sin adeudos"
"249YUR","Placa anterior: 249YUR"
"249YUT","Adeudos"
"249YUV","Adeudos"
"249YUW","Adeudos"
"249YUX","Sin adeudos"
"249YUY","Sin adeudos"
"249YVA","Sin adeudos"
"249YVD","Sin adeudos"
"249YVE","Adeudos"
"249YVF","Adeudos"
"249YVJ","Adeudos"
"249YVK","Adeudos"
"249YVL","Sin adeudos"
"249YVP","Adeudos"
"249YVR","Adeudos"
"249YVS","Adeudos"
"249YVT","Adeudos"
"249YVU","Adeudos"
"249YVV","Adeudos"
"249YVX","Sin adeudos"
"249YVY","Adeudos"
"249YVZ","Sin adeudos"
"249YWA","Adeudos"
"249YWB","Adeudos"
"249YWC","Sin adeudos"
"249YWF","Sin adeudos"
"249YWG","Adeudos"
"249YWH","Adeudos"
"249YWJ","Sin adeudos"
"249YWL","Sin adeudos"
"249YWP","Sin adeudos"
"249YWR","Placa anterior: 249YWR"
"249YWS","Adeudos"
"249YWT","Adeudos"
"249YWU","Sin adeudos"
"249YWV","Adeudos"
"249YWZ","Sin adeudos"
"249YXC","Adeudos"
"249YXD","Adeudos"
"249YXE","Adeudos"
"249YXF","Adeudos"
"249YXG","Adeudos"
"249YXH","Sin adeudos"
"249YXJ","Sin adeudos"
"249YXK","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"249YXL","Adeudos"
"249YXM","Adeudos"
"249YXS","Adeudos"
"249YXU","Adeudos"
"249YXV","Adeudos"
"249YXW","Sin adeudos"
"249YXX","Adeudos"
"249YXY","Sin adeudos"
"249YXZ","Sin adeudos"
"249YYA","ERROR. Revisar Placa"
"249YYB","ERROR. Revisar Placa"
"249YYC","ERROR. Revisar Placa"
"249YYD","ERROR. Revisar Placa"
"249YYE","ERROR. Revisar Placa"
"249YYF","ERROR. Revisar Placa"
"249YYJ","ERROR. Revisar Placa"
"249YYK","ERROR. Revisar Placa"
"249YYL","ERROR. Revisar Placa"
"249YYP","ERROR. Revisar Placa"
"249YYR","ERROR. Revisar Placa"
"249YYS","ERROR. Revisar Placa"
"249YYT","ERROR. Revisar Placa"
"249YYU","ERROR. Revisar Placa"
"249YYW","ERROR. Revisar Placa"
"249YYX","ERROR. Revisar Placa"
"249YYY","ERROR. Revisar Placa"
"249YYZ","ERROR. Revisar Placa"
"249YZA","ERROR. Revisar Placa"
"249YZB","ERROR. Revisar Placa"
"249YZC","ERROR. Revisar Placa"
"249YZD","ERROR. Revisar Placa"
"249YZE","ERROR. Revisar Placa"
"249YZF","ERROR. Revisar Placa"
"249YZG","ERROR. Revisar Placa"
"249YZJ","ERROR. Revisar Placa"
"249YZK","ERROR. Revisar Placa"
"249YZM","ERROR. Revisar Placa"
