"placa","estatus","placa_anterior","years_adeudos","years"
"322TUB","Adeudos",NA,6,"2018"
"322TUB","Adeudos",NA,6,"2019"
"322TUB","Adeudos",NA,6,"2020"
"322TUB","Adeudos",NA,6,"2021"
"322TUF","Adeudos",NA,6,"2016"
"322TUF","Adeudos",NA,6,"2017"
"322TUF","Adeudos",NA,6,"2018"
"322TUF","Adeudos",NA,6,"2019"
"322TUF","Adeudos",NA,6,"2020"
"322TUF","Adeudos",NA,6,"2021"
"322TUJ","Adeudos",NA,6,"2016"
"322TUJ","Adeudos",NA,6,"2017"
"322TUJ","Adeudos",NA,6,"2018"
"322TUJ","Adeudos",NA,6,"2019"
"322TUJ","Adeudos",NA,6,"2020"
"322TUJ","Adeudos",NA,6,"2021"
"322TUK","Sin adeudos",NA,0,"0"
"322TUN","Adeudos",NA,6,"2016"
"322TUN","Adeudos",NA,6,"2017"
"322TUN","Adeudos",NA,6,"2018"
"322TUN","Adeudos",NA,6,"2019"
"322TUN","Adeudos",NA,6,"2020"
"322TUN","Adeudos",NA,6,"2021"
"322TUT","Sin adeudos",NA,0,"0"
"322TUU","Adeudos",NA,5,"2017"
"322TUU","Adeudos",NA,5,"2018"
"322TUU","Adeudos",NA,5,"2019"
"322TUU","Adeudos",NA,5,"2020"
"322TUU","Adeudos",NA,5,"2021"
"322TUV","Sin adeudos",NA,0,"0"
"322TV","Adeudos",NA,4,"2018"
"322TV","Adeudos",NA,4,"2019"
"322TV","Adeudos",NA,4,"2020"
"322TV","Adeudos",NA,4,"2021"
"322TVK","Sin adeudos",NA,0,"0"
"322TVL","Adeudos",NA,6,"2016"
"322TVL","Adeudos",NA,6,"2017"
"322TVL","Adeudos",NA,6,"2018"
"322TVL","Adeudos",NA,6,"2019"
"322TVL","Adeudos",NA,6,"2020"
"322TVL","Adeudos",NA,6,"2021"
"322TVT","Adeudos",NA,1,"2021"
"322TVW","Adeudos",NA,5,"2017"
"322TVW","Adeudos",NA,5,"2018"
"322TVW","Adeudos",NA,5,"2019"
"322TVW","Adeudos",NA,5,"2020"
"322TVW","Adeudos",NA,5,"2021"
"322TW","Cuenta con Placa Anterior y Adeudos","322TW",1,"2021"
"322TWA","Cuenta con Placa Anterior y Sin adeudos","100PJK",0,"0"
"322TWB","Adeudos",NA,3,"2019"
"322TWB","Adeudos",NA,3,"2020"
"322TWB","Adeudos",NA,3,"2021"
"322TWC","Adeudos",NA,6,"2016"
"322TWC","Adeudos",NA,6,"2017"
"322TWC","Adeudos",NA,6,"2018"
"322TWC","Adeudos",NA,6,"2019"
"322TWC","Adeudos",NA,6,"2020"
"322TWC","Adeudos",NA,6,"2021"
"322TWF","Adeudos",NA,4,"2018"
"322TWF","Adeudos",NA,4,"2019"
"322TWF","Adeudos",NA,4,"2020"
"322TWF","Adeudos",NA,4,"2021"
"322TWH","Sin adeudos",NA,0,"0"
"322TWR","Adeudos",NA,6,"2016"
"322TWR","Adeudos",NA,6,"2017"
"322TWR","Adeudos",NA,6,"2018"
"322TWR","Adeudos",NA,6,"2019"
"322TWR","Adeudos",NA,6,"2020"
"322TWR","Adeudos",NA,6,"2021"
"322TWZ","Adeudos",NA,5,"2017"
"322TWZ","Adeudos",NA,5,"2018"
"322TWZ","Adeudos",NA,5,"2019"
"322TWZ","Adeudos",NA,5,"2020"
"322TWZ","Adeudos",NA,5,"2021"
"322TX","Sin adeudos",NA,0,"0"
"322TXA","Adeudos",NA,6,"2016"
"322TXA","Adeudos",NA,6,"2017"
"322TXA","Adeudos",NA,6,"2018"
"322TXA","Adeudos",NA,6,"2019"
"322TXA","Adeudos",NA,6,"2020"
"322TXA","Adeudos",NA,6,"2021"
"322TXF","Adeudos",NA,6,"2016"
"322TXF","Adeudos",NA,6,"2017"
"322TXF","Adeudos",NA,6,"2018"
"322TXF","Adeudos",NA,6,"2019"
"322TXF","Adeudos",NA,6,"2020"
"322TXF","Adeudos",NA,6,"2021"
"322TXG","Sin adeudos",NA,0,"0"
"322TXH","Adeudos",NA,4,"2018"
"322TXH","Adeudos",NA,4,"2019"
"322TXH","Adeudos",NA,4,"2020"
"322TXH","Adeudos",NA,4,"2021"
"322TXJ","Sin adeudos",NA,0,"0"
"322TXU","Sin adeudos",NA,0,"0"
"322TXZ","Sin adeudos",NA,0,"0"
"322TY","Cuenta con Placa Anterior y Sin adeudos","332VTT",0,"0"
"322TYL","Adeudos",NA,5,"2017"
"322TYL","Adeudos",NA,5,"2018"
"322TYL","Adeudos",NA,5,"2019"
"322TYL","Adeudos",NA,5,"2020"
"322TYL","Adeudos",NA,5,"2021"
"322TYR","Adeudos",NA,4,"2018"
"322TYR","Adeudos",NA,4,"2019"
"322TYR","Adeudos",NA,4,"2020"
"322TYR","Adeudos",NA,4,"2021"
"322TZ","Cuenta con Placa Anterior y Sin adeudos","530SVL",0,"0"
"322TZC","Adeudos",NA,1,"2021"
"322TZE","Adeudos",NA,6,"2016"
"322TZE","Adeudos",NA,6,"2017"
"322TZE","Adeudos",NA,6,"2018"
"322TZE","Adeudos",NA,6,"2019"
"322TZE","Adeudos",NA,6,"2020"
"322TZE","Adeudos",NA,6,"2021"
"322TZF","Sin adeudos",NA,0,"0"
"322TZJ","Sin adeudos",NA,0,"0"
"322TZK","Sin adeudos",NA,0,"0"
"322TZP","Adeudos",NA,7,"2015"
"322TZP","Adeudos",NA,7,"2016"
"322TZP","Adeudos",NA,7,"2017"
"322TZP","Adeudos",NA,7,"2018"
"322TZP","Adeudos",NA,7,"2019"
"322TZP","Adeudos",NA,7,"2020"
"322TZP","Adeudos",NA,7,"2021"
"322TZS","Adeudos",NA,5,"2017"
"322TZS","Adeudos",NA,5,"2018"
"322TZS","Adeudos",NA,5,"2019"
"322TZS","Adeudos",NA,5,"2020"
"322TZS","Adeudos",NA,5,"2021"
"322TZV","Sin adeudos",NA,0,"0"
"322TZW","Adeudos",NA,2,"2020"
"322TZW","Adeudos",NA,2,"2021"
"322UA","Cuenta con Placa Anterior y Sin adeudos","289PDT",0,"0"
"322UAF","Adeudos",NA,6,"2016"
"322UAF","Adeudos",NA,6,"2017"
"322UAF","Adeudos",NA,6,"2018"
"322UAF","Adeudos",NA,6,"2019"
"322UAF","Adeudos",NA,6,"2020"
"322UAF","Adeudos",NA,6,"2021"
"322UAG","Adeudos",NA,5,"2017"
"322UAG","Adeudos",NA,5,"2018"
"322UAG","Adeudos",NA,5,"2019"
"322UAG","Adeudos",NA,5,"2020"
"322UAG","Adeudos",NA,5,"2021"
"322UAJ","Adeudos",NA,1,"2021"
"322UAK","Adeudos",NA,6,"2016"
"322UAK","Adeudos",NA,6,"2017"
"322UAK","Adeudos",NA,6,"2018"
"322UAK","Adeudos",NA,6,"2019"
"322UAK","Adeudos",NA,6,"2020"
"322UAK","Adeudos",NA,6,"2021"
"322UAL","Adeudos",NA,6,"2016"
"322UAL","Adeudos",NA,6,"2017"
"322UAL","Adeudos",NA,6,"2018"
"322UAL","Adeudos",NA,6,"2019"
"322UAL","Adeudos",NA,6,"2020"
"322UAL","Adeudos",NA,6,"2021"
"322UAM","Adeudos",NA,5,"2017"
"322UAM","Adeudos",NA,5,"2018"
"322UAM","Adeudos",NA,5,"2019"
"322UAM","Adeudos",NA,5,"2020"
"322UAM","Adeudos",NA,5,"2021"
"322UAR","Sin adeudos",NA,0,"0"
"322UAS","Adeudos",NA,5,"2017"
"322UAS","Adeudos",NA,5,"2018"
"322UAS","Adeudos",NA,5,"2019"
"322UAS","Adeudos",NA,5,"2020"
"322UAS","Adeudos",NA,5,"2021"
"322UAT","Sin adeudos",NA,0,"0"
"322UB","El número de placa no se localizó en el padrón",NA,0,"0"
"322UBB","Cuenta con Placa Anterior y Adeudos","952THH",3,"2019"
"322UBB","Cuenta con Placa Anterior y Adeudos","952THH",3,"2020"
"322UBB","Cuenta con Placa Anterior y Adeudos","952THH",3,"2021"
"322UBE","Adeudos",NA,5,"2017"
"322UBE","Adeudos",NA,5,"2018"
"322UBE","Adeudos",NA,5,"2019"
"322UBE","Adeudos",NA,5,"2020"
"322UBE","Adeudos",NA,5,"2021"
"322UBL","Sin adeudos",NA,0,"0"
"322UBM","Sin adeudos",NA,0,"0"
"322UBN","Sin adeudos",NA,0,"0"
"322UBP","Cuenta con Placa Anterior y Sin adeudos","582NXN",0,"0"
"322UBS","Adeudos",NA,6,"2016"
"322UBS","Adeudos",NA,6,"2017"
"322UBS","Adeudos",NA,6,"2018"
"322UBS","Adeudos",NA,6,"2019"
"322UBS","Adeudos",NA,6,"2020"
"322UBS","Adeudos",NA,6,"2021"
"322UBT","Adeudos",NA,5,"2017"
"322UBT","Adeudos",NA,5,"2018"
"322UBT","Adeudos",NA,5,"2019"
"322UBT","Adeudos",NA,5,"2020"
"322UBT","Adeudos",NA,5,"2021"
"322UBU","Adeudos",NA,6,"2016"
"322UBU","Adeudos",NA,6,"2017"
"322UBU","Adeudos",NA,6,"2018"
"322UBU","Adeudos",NA,6,"2019"
"322UBU","Adeudos",NA,6,"2020"
"322UBU","Adeudos",NA,6,"2021"
"322UBX","Adeudos",NA,2,"2020"
"322UBX","Adeudos",NA,2,"2021"
"322UC","Cuenta con Placa Anterior y Adeudos","328RWG",4,"2018"
"322UC","Cuenta con Placa Anterior y Adeudos","328RWG",4,"2019"
"322UC","Cuenta con Placa Anterior y Adeudos","328RWG",4,"2020"
"322UC","Cuenta con Placa Anterior y Adeudos","328RWG",4,"2021"
"322UCE","Sin adeudos",NA,0,"0"
"322UCG","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"322UCH","Sin adeudos",NA,0,"0"
"322UCK","Sin adeudos",NA,0,"0"
"322UCT","Adeudos",NA,5,"2017"
"322UCT","Adeudos",NA,5,"2018"
"322UCT","Adeudos",NA,5,"2019"
"322UCT","Adeudos",NA,5,"2020"
"322UCT","Adeudos",NA,5,"2021"
"322UCU","Adeudos",NA,2,"2020"
"322UCU","Adeudos",NA,2,"2021"
"322UCV","Sin adeudos",NA,0,"0"
"322UCY","Adeudos",NA,6,"2016"
"322UCY","Adeudos",NA,6,"2017"
"322UCY","Adeudos",NA,6,"2018"
"322UCY","Adeudos",NA,6,"2019"
"322UCY","Adeudos",NA,6,"2020"
"322UCY","Adeudos",NA,6,"2021"
"322UD","Cuenta con Placa Anterior y Sin adeudos","840YTV",0,"0"
"322UDA","Adeudos",NA,5,"2017"
"322UDA","Adeudos",NA,5,"2018"
"322UDA","Adeudos",NA,5,"2019"
"322UDA","Adeudos",NA,5,"2020"
"322UDA","Adeudos",NA,5,"2021"
"322UDG","Sin adeudos",NA,0,"0"
"322UDJ","Adeudos",NA,6,"2016"
"322UDJ","Adeudos",NA,6,"2017"
"322UDJ","Adeudos",NA,6,"2018"
"322UDJ","Adeudos",NA,6,"2019"
"322UDJ","Adeudos",NA,6,"2020"
"322UDJ","Adeudos",NA,6,"2021"
"322UDK","Sin adeudos",NA,0,"0"
"322UDL","Adeudos",NA,7,"2014"
"322UDL","Adeudos",NA,7,"2016"
"322UDL","Adeudos",NA,7,"2017"
"322UDL","Adeudos",NA,7,"2018"
"322UDL","Adeudos",NA,7,"2019"
"322UDL","Adeudos",NA,7,"2020"
"322UDL","Adeudos",NA,7,"2021"
"322UDP","Adeudos",NA,7,"2014"
"322UDP","Adeudos",NA,7,"2015"
"322UDP","Adeudos",NA,7,"2017"
"322UDP","Adeudos",NA,7,"2018"
"322UDP","Adeudos",NA,7,"2019"
"322UDP","Adeudos",NA,7,"2020"
"322UDP","Adeudos",NA,7,"2021"
"322UDT","Cuenta con Placa Anterior y Sin adeudos","322UDT",0,"0"
"322UDY","Cuenta con Placa Anterior y Sin adeudos","322UDY",0,"0"
"322UE","Cuenta con Placa Anterior y Sin adeudos","273WNY",0,"0"
"322UEC","Adeudos",NA,4,"2018"
"322UEC","Adeudos",NA,4,"2019"
"322UEC","Adeudos",NA,4,"2020"
"322UEC","Adeudos",NA,4,"2021"
"322UEH","Sin adeudos",NA,0,"0"
"322UEN","Adeudos",NA,1,"2021"
"322UET","Adeudos",NA,5,"2017"
"322UET","Adeudos",NA,5,"2018"
"322UET","Adeudos",NA,5,"2019"
"322UET","Adeudos",NA,5,"2020"
"322UET","Adeudos",NA,5,"2021"
"322UEV","Adeudos",NA,6,"2016"
"322UEV","Adeudos",NA,6,"2017"
"322UEV","Adeudos",NA,6,"2018"
"322UEV","Adeudos",NA,6,"2019"
"322UEV","Adeudos",NA,6,"2020"
"322UEV","Adeudos",NA,6,"2021"
"322UEW","Adeudos",NA,3,"2019"
"322UEW","Adeudos",NA,3,"2020"
"322UEW","Adeudos",NA,3,"2021"
"322UEY","Adeudos",NA,4,"2018"
"322UEY","Adeudos",NA,4,"2019"
"322UEY","Adeudos",NA,4,"2020"
"322UEY","Adeudos",NA,4,"2021"
"322UF","Cuenta con Placa Anterior y Sin adeudos","344UPW",0,"0"
"322UFA","Sin adeudos",NA,0,"0"
"322UFD","Adeudos",NA,3,"2019"
"322UFD","Adeudos",NA,3,"2020"
"322UFD","Adeudos",NA,3,"2021"
"322UFH","Adeudos",NA,3,"2019"
"322UFH","Adeudos",NA,3,"2020"
"322UFH","Adeudos",NA,3,"2021"
"322UFR","Adeudos",NA,1,"2021"
"322UFW","Adeudos",NA,5,"2017"
"322UFW","Adeudos",NA,5,"2018"
"322UFW","Adeudos",NA,5,"2019"
"322UFW","Adeudos",NA,5,"2020"
"322UFW","Adeudos",NA,5,"2021"
"322UFY","Adeudos",NA,5,"2017"
"322UFY","Adeudos",NA,5,"2018"
"322UFY","Adeudos",NA,5,"2019"
"322UFY","Adeudos",NA,5,"2020"
"322UFY","Adeudos",NA,5,"2021"
"322UFZ","Adeudos",NA,5,"2017"
"322UFZ","Adeudos",NA,5,"2018"
"322UFZ","Adeudos",NA,5,"2019"
"322UFZ","Adeudos",NA,5,"2020"
"322UFZ","Adeudos",NA,5,"2021"
"322UG","Cuenta con Placa Anterior y Sin adeudos","628YZR",0,"0"
"322UGD","Adeudos",NA,6,"2016"
"322UGD","Adeudos",NA,6,"2017"
"322UGD","Adeudos",NA,6,"2018"
"322UGD","Adeudos",NA,6,"2019"
"322UGD","Adeudos",NA,6,"2020"
"322UGD","Adeudos",NA,6,"2021"
"322UGF","Adeudos",NA,6,"2016"
"322UGF","Adeudos",NA,6,"2017"
"322UGF","Adeudos",NA,6,"2018"
"322UGF","Adeudos",NA,6,"2019"
"322UGF","Adeudos",NA,6,"2020"
"322UGF","Adeudos",NA,6,"2021"
"322UGH","Adeudos",NA,6,"2016"
"322UGH","Adeudos",NA,6,"2017"
"322UGH","Adeudos",NA,6,"2018"
"322UGH","Adeudos",NA,6,"2019"
"322UGH","Adeudos",NA,6,"2020"
"322UGH","Adeudos",NA,6,"2021"
"322UGK","Adeudos",NA,5,"2017"
"322UGK","Adeudos",NA,5,"2018"
"322UGK","Adeudos",NA,5,"2019"
"322UGK","Adeudos",NA,5,"2020"
"322UGK","Adeudos",NA,5,"2021"
"322UGL","Cuenta con Placa Anterior y Adeudos","295TWV",4,"2018"
"322UGL","Cuenta con Placa Anterior y Adeudos","295TWV",4,"2019"
"322UGL","Cuenta con Placa Anterior y Adeudos","295TWV",4,"2020"
"322UGL","Cuenta con Placa Anterior y Adeudos","295TWV",4,"2021"
"322UGM","Adeudos",NA,2,"2020"
"322UGM","Adeudos",NA,2,"2021"
"322UGN","Adeudos",NA,1,"2021"
"322UGP","Adeudos",NA,4,"2018"
"322UGP","Adeudos",NA,4,"2019"
"322UGP","Adeudos",NA,4,"2020"
"322UGP","Adeudos",NA,4,"2021"
"322UGT","Adeudos",NA,3,"2019"
"322UGT","Adeudos",NA,3,"2020"
"322UGT","Adeudos",NA,3,"2021"
"322UGX","Adeudos",NA,5,"2017"
"322UGX","Adeudos",NA,5,"2018"
"322UGX","Adeudos",NA,5,"2019"
"322UGX","Adeudos",NA,5,"2020"
"322UGX","Adeudos",NA,5,"2021"
"322UGY","Adeudos",NA,3,"2019"
"322UGY","Adeudos",NA,3,"2020"
"322UGY","Adeudos",NA,3,"2021"
"322UGZ","Adeudos",NA,2,"2020"
"322UGZ","Adeudos",NA,2,"2021"
"322UH","Cuenta con Placa Anterior y Sin adeudos","Z50ALX",0,"0"
"322UHB","Adeudos",NA,6,"2016"
"322UHB","Adeudos",NA,6,"2017"
"322UHB","Adeudos",NA,6,"2018"
"322UHB","Adeudos",NA,6,"2019"
"322UHB","Adeudos",NA,6,"2020"
"322UHB","Adeudos",NA,6,"2021"
"322UHE","Adeudos",NA,6,"2016"
"322UHE","Adeudos",NA,6,"2017"
"322UHE","Adeudos",NA,6,"2018"
"322UHE","Adeudos",NA,6,"2019"
"322UHE","Adeudos",NA,6,"2020"
"322UHE","Adeudos",NA,6,"2021"
"322UHH","Adeudos",NA,6,"2016"
"322UHH","Adeudos",NA,6,"2017"
"322UHH","Adeudos",NA,6,"2018"
"322UHH","Adeudos",NA,6,"2019"
"322UHH","Adeudos",NA,6,"2020"
"322UHH","Adeudos",NA,6,"2021"
"322UHP","Sin adeudos",NA,0,"0"
"322UHR","Adeudos",NA,6,"2015"
"322UHR","Adeudos",NA,6,"2016"
"322UHR","Adeudos",NA,6,"2017"
"322UHR","Adeudos",NA,6,"2018"
"322UHR","Adeudos",NA,6,"2020"
"322UHR","Adeudos",NA,6,"2021"
"322UHU","Sin adeudos",NA,0,"0"
"322UHW","Sin adeudos",NA,0,"0"
"322UHZ","Adeudos",NA,4,"2018"
"322UHZ","Adeudos",NA,4,"2019"
"322UHZ","Adeudos",NA,4,"2020"
"322UHZ","Adeudos",NA,4,"2021"
"322UJ","Cuenta con Placa Anterior y Sin adeudos","307PLN",0,"0"
"322UJA","El número de placa no se localizó en el padrón",NA,0,"0"
"322UJL","Sin adeudos",NA,0,"0"
"322UJP","Sin adeudos",NA,0,"0"
"322UJT","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO",NA,0,"0"
"322UJU","Sin adeudos",NA,0,"0"
"322UJX","Adeudos",NA,2,"2020"
"322UJX","Adeudos",NA,2,"2021"
"322UJY","Sin adeudos",NA,0,"0"
"322UKB","Adeudos",NA,1,"2021"
"322UKJ","Sin adeudos",NA,0,"0"
"322UKL","Sin adeudos",NA,0,"0"
"322UKP","Sin adeudos",NA,0,"0"
"322ULA","Adeudos",NA,6,"2016"
"322ULA","Adeudos",NA,6,"2017"
"322ULA","Adeudos",NA,6,"2018"
"322ULA","Adeudos",NA,6,"2019"
"322ULA","Adeudos",NA,6,"2020"
"322ULA","Adeudos",NA,6,"2021"
"322ULC","Adeudos",NA,1,"2021"
"322ULM","Adeudos",NA,4,"2018"
"322ULM","Adeudos",NA,4,"2019"
"322ULM","Adeudos",NA,4,"2020"
"322ULM","Adeudos",NA,4,"2021"
"322ULN","Adeudos",NA,4,"2018"
"322ULN","Adeudos",NA,4,"2019"
"322ULN","Adeudos",NA,4,"2020"
"322ULN","Adeudos",NA,4,"2021"
"322ULS","Sin adeudos",NA,0,"0"
"322ULT","Cuenta con Placa Anterior y Adeudos","894MXF",4,"2018"
"322ULT","Cuenta con Placa Anterior y Adeudos","894MXF",4,"2019"
"322ULT","Cuenta con Placa Anterior y Adeudos","894MXF",4,"2020"
"322ULT","Cuenta con Placa Anterior y Adeudos","894MXF",4,"2021"
"322ULU","Adeudos",NA,3,"2019"
"322ULU","Adeudos",NA,3,"2020"
"322ULU","Adeudos",NA,3,"2021"
"322ULX","Sin adeudos",NA,0,"0"
"322ULZ","Adeudos",NA,1,"2021"
"322UMD","Sin adeudos",NA,0,"0"
"322UMF","Sin adeudos",NA,0,"0"
"322UMH","Cuenta con Placa Anterior y Adeudos","322UMH",1,"2021"
"322UMJ","Adeudos",NA,3,"2019"
"322UMJ","Adeudos",NA,3,"2020"
"322UMJ","Adeudos",NA,3,"2021"
"322UMP","Sin adeudos",NA,0,"0"
"322UMS","Sin adeudos",NA,0,"0"
"322UMU","Sin adeudos",NA,0,"0"
"322UMW","Cuenta con Placa Anterior y Adeudos","392SXS",6,"2016"
"322UMW","Cuenta con Placa Anterior y Adeudos","392SXS",6,"2017"
"322UMW","Cuenta con Placa Anterior y Adeudos","392SXS",6,"2018"
"322UMW","Cuenta con Placa Anterior y Adeudos","392SXS",6,"2019"
"322UMW","Cuenta con Placa Anterior y Adeudos","392SXS",6,"2020"
"322UMW","Cuenta con Placa Anterior y Adeudos","392SXS",6,"2021"
"322UMX","Adeudos",NA,6,"2016"
"322UMX","Adeudos",NA,6,"2017"
"322UMX","Adeudos",NA,6,"2018"
"322UMX","Adeudos",NA,6,"2019"
"322UMX","Adeudos",NA,6,"2020"
"322UMX","Adeudos",NA,6,"2021"
"322UMY","Sin adeudos",NA,0,"0"
"322UMZ","Adeudos",NA,4,"2018"
"322UMZ","Adeudos",NA,4,"2019"
"322UMZ","Adeudos",NA,4,"2020"
"322UMZ","Adeudos",NA,4,"2021"
"322UNC","Adeudos",NA,6,"2016"
"322UNC","Adeudos",NA,6,"2017"
"322UNC","Adeudos",NA,6,"2018"
"322UNC","Adeudos",NA,6,"2019"
"322UNC","Adeudos",NA,6,"2020"
"322UNC","Adeudos",NA,6,"2021"
"322UND","Adeudos",NA,3,"2019"
"322UND","Adeudos",NA,3,"2020"
"322UND","Adeudos",NA,3,"2021"
"322UNE","Adeudos",NA,3,"2019"
"322UNE","Adeudos",NA,3,"2020"
"322UNE","Adeudos",NA,3,"2021"
"322UNF","Adeudos",NA,5,"2017"
"322UNF","Adeudos",NA,5,"2018"
"322UNF","Adeudos",NA,5,"2019"
"322UNF","Adeudos",NA,5,"2020"
"322UNF","Adeudos",NA,5,"2021"
"322UNS","Adeudos",NA,3,"2019"
"322UNS","Adeudos",NA,3,"2020"
"322UNS","Adeudos",NA,3,"2021"
"322UNW","Cuenta con Placa Anterior y Adeudos","322UNW",1,"2021"
"322UPB","Adeudos",NA,3,"2019"
"322UPB","Adeudos",NA,3,"2020"
"322UPB","Adeudos",NA,3,"2021"
"322UPC","Adeudos",NA,6,"2016"
"322UPC","Adeudos",NA,6,"2017"
"322UPC","Adeudos",NA,6,"2018"
"322UPC","Adeudos",NA,6,"2019"
"322UPC","Adeudos",NA,6,"2020"
"322UPC","Adeudos",NA,6,"2021"
"322UPD","Sin adeudos",NA,0,"0"
"322UPH","Adeudos",NA,2,"2020"
"322UPH","Adeudos",NA,2,"2021"
"322UPM","Adeudos",NA,3,"2018"
"322UPM","Adeudos",NA,3,"2020"
"322UPM","Adeudos",NA,3,"2021"
"322UPN","Adeudos",NA,1,"2021"
"322UPP","Adeudos",NA,1,"2021"
"322UPR","Adeudos",NA,5,"2017"
"322UPR","Adeudos",NA,5,"2018"
"322UPR","Adeudos",NA,5,"2019"
"322UPR","Adeudos",NA,5,"2020"
"322UPR","Adeudos",NA,5,"2021"
"322UPS","Sin adeudos",NA,0,"0"
"322UPU","Adeudos",NA,4,"2018"
"322UPU","Adeudos",NA,4,"2019"
