"placa","estatus","placa_anterior","years_adeudos","years"
"322TPD","Sin adeudos",NA,0,"0"
"322TPJ","Sin adeudos",NA,0,"0"
"322TPL","Sin adeudos",NA,0,"0"
"322TPM","Adeudos",NA,6,"2016"
"322TPM","Adeudos",NA,6,"2017"
"322TPM","Adeudos",NA,6,"2018"
"322TPM","Adeudos",NA,6,"2019"
"322TPM","Adeudos",NA,6,"2020"
"322TPM","Adeudos",NA,6,"2021"
"322TPZ","Sin adeudos",NA,0,"0"
"322TR","Cuenta con Placa Anterior y Sin adeudos","400STU",0,"0"
"322TRA","Sin adeudos",NA,0,"0"
"322TRG","Sin adeudos",NA,0,"0"
"322TRJ","Sin adeudos",NA,0,"0"
"322TRK","Cuenta con Placa Anterior y Sin adeudos","322TRK",0,"0"
"322TRP","Sin adeudos",NA,0,"0"
"322TRW","Adeudos",NA,4,"2018"
"322TRW","Adeudos",NA,4,"2019"
"322TRW","Adeudos",NA,4,"2020"
"322TRW","Adeudos",NA,4,"2021"
"322TRZ","Adeudos",NA,6,"2014"
"322TRZ","Adeudos",NA,6,"2017"
"322TRZ","Adeudos",NA,6,"2018"
"322TRZ","Adeudos",NA,6,"2019"
"322TRZ","Adeudos",NA,6,"2020"
"322TRZ","Adeudos",NA,6,"2021"
"322TS","Sin adeudos",NA,0,"0"
"322TSE","Adeudos",NA,4,"2018"
"322TSE","Adeudos",NA,4,"2019"
"322TSE","Adeudos",NA,4,"2020"
"322TSE","Adeudos",NA,4,"2021"
"322TSH","Adeudos",NA,6,"2016"
"322TSH","Adeudos",NA,6,"2017"
"322TSH","Adeudos",NA,6,"2018"
"322TSH","Adeudos",NA,6,"2019"
"322TSH","Adeudos",NA,6,"2020"
"322TSH","Adeudos",NA,6,"2021"
"322TSL","Adeudos",NA,3,"2019"
"322TSL","Adeudos",NA,3,"2020"
"322TSL","Adeudos",NA,3,"2021"
"322TSR","Sin adeudos",NA,0,"0"
"322TST","Adeudos",NA,3,"2019"
"322TST","Adeudos",NA,3,"2020"
"322TST","Adeudos",NA,3,"2021"
"322TT","Cuenta con Placa Anterior y Adeudos","599PXA",6,"2016"
"322TT","Cuenta con Placa Anterior y Adeudos","599PXA",6,"2017"
"322TT","Cuenta con Placa Anterior y Adeudos","599PXA",6,"2018"
"322TT","Cuenta con Placa Anterior y Adeudos","599PXA",6,"2019"
"322TT","Cuenta con Placa Anterior y Adeudos","599PXA",6,"2020"
"322TT","Cuenta con Placa Anterior y Adeudos","599PXA",6,"2021"
"322TTA","Sin adeudos",NA,0,"0"
"322TTB","Adeudos",NA,6,"2016"
"322TTB","Adeudos",NA,6,"2017"
"322TTB","Adeudos",NA,6,"2018"
"322TTB","Adeudos",NA,6,"2019"
"322TTB","Adeudos",NA,6,"2020"
"322TTB","Adeudos",NA,6,"2021"
"322TTD","Sin adeudos",NA,0,"0"
"322TTE","Adeudos",NA,5,"2017"
"322TTE","Adeudos",NA,5,"2018"
"322TTE","Adeudos",NA,5,"2019"
"322TTE","Adeudos",NA,5,"2020"
"322TTE","Adeudos",NA,5,"2021"
"322TTL","Adeudos",NA,5,"2017"
"322TTL","Adeudos",NA,5,"2018"
"322TTL","Adeudos",NA,5,"2019"
"322TTL","Adeudos",NA,5,"2020"
"322TTL","Adeudos",NA,5,"2021"
"322TTS","Adeudos",NA,4,"2018"
"322TTS","Adeudos",NA,4,"2019"
"322TTS","Adeudos",NA,4,"2020"
"322TTS","Adeudos",NA,4,"2021"
"322TTT","Adeudos",NA,6,"2016"
"322TTT","Adeudos",NA,6,"2017"
"322TTT","Adeudos",NA,6,"2018"
"322TTT","Adeudos",NA,6,"2019"
"322TTT","Adeudos",NA,6,"2020"
"322TTT","Adeudos",NA,6,"2021"
"322TTX","Sin adeudos",NA,0,"0"
"322TTY","Sin adeudos",NA,0,"0"
"322TTZ","Sin adeudos",NA,0,"0"
"322TU","Cuenta con Placa Anterior y Sin adeudos","781RZA",0,"0"
"322TUB","Adeudos",NA,6,"2016"
"322TUB","Adeudos",NA,6,"2017"
