"placa","estatus"
"C91AGP","Adeudos"
"C91AGR","Sin adeudos"
"C91AGT","Sin adeudos"
"C91AGV","Adeudos"
"C91AGW","Adeudos"
"C91AGX","Sin adeudos"
"C91AGY","Sin adeudos"
"C91AGZ","Sin adeudos"
"C91AHA","Sin adeudos"
"C91AHC","Sin adeudos"
"C91AHD","Sin adeudos"
"C91AHE","Sin adeudos"
"C91AHG","Sin adeudos"
"C91AHH","Sin adeudos"
"C91AHJ","Adeudos"
"C91AHK","Adeudos"
"C91AHP","Sin adeudos"
"C91AHR","Sin adeudos"
"C91AHV","Placa anterior: 706ZRD"
"C91AHX","Sin adeudos"
"C91AHY","Sin adeudos"
"C91AHZ","Adeudos"
"C91AJA","Sin adeudos"
"C91AJB","Sin adeudos"
"C91AJC","Sin adeudos"
"C91AJD","Placa anterior: C91AJD"
"C91AJE","Sin adeudos"
"C91AJF","Sin adeudos"
"C91AJH","Sin adeudos"
"C91AJJ","Sin adeudos"
"C91AJK","Adeudos"
"C91AJL","Adeudos"
"C91AJM","Sin adeudos"
"C91AJN","Sin adeudos"
"C91AJP","Sin adeudos"
"C91AJR","Adeudos"
"C91AJT","Sin adeudos"
"C91AJV","El número de placa no se localizó en el padrón"
"C91AJW","Sin adeudos"
"C91AJX","Adeudos"
"C91AJZ","Sin adeudos"
"C91AKA","Sin adeudos"
"C91AKC","Adeudos"
"C91AKD","Placa anterior: C91AKD"
"C91AKE","ERROR. Revisar Placa"
"C91AKF","Sin adeudos"
"C91AKH","Sin adeudos"
"C91AKJ","Sin adeudos"
"C91AKL","Sin adeudos"
"C91AKN","Placa anterior: 446RYC"
"C91AKP","Adeudos"
"C91AKS","Sin adeudos"
"C91AKT","Sin adeudos"
"C91AKU","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C91AKV","Placa anterior: C91AKV"
"C91AKW","Sin adeudos"
"C91AKX","Sin adeudos"
"C91AKY","Adeudos"
"C91AKZ","Adeudos"
"C91ALC","Placa anterior: C91ALC"
"C91ALE","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C91ALF","Sin adeudos"
"C91ALG","Adeudos"
"C91ALH","Adeudos"
"C91ALL","Sin adeudos"
"C91ALM","Placa anterior: 390XXX"
"C91ALN","Sin adeudos"
"C91ALP","Sin adeudos"
"C91ALS","Adeudos"
"C91ALT","Adeudos"
"C91ALU","El número de placa no se localizó en el padrón"
"C91ALV","Sin adeudos"
"C91ALW","Sin adeudos"
"C91ALX","Adeudos"
"C91ALY","Adeudos"
"C91AMC","Adeudos"
"C91AMD","Adeudos"
"C91AME","Sin adeudos"
"C91AMG","Sin adeudos"
"C91AMH","Sin adeudos"
"C91AMJ","Sin adeudos"
"C91AMK","Sin adeudos"
"C91AMN","Sin adeudos"
"C91AMP","Sin adeudos"
"C91AMS","ERROR. Revisar Placa"
"C91AMV","ERROR. Revisar Placa"
"C91AMW","Sin adeudos"
"C91ANB","Sin adeudos"
"C91ANC","Adeudos"
"C91AND","Sin adeudos"
"C91ANE","Sin adeudos"
"C91ANF","Sin adeudos"
"C91ANL","Sin adeudos"
"C91ANP","Sin adeudos"
"C91ANR","Adeudos"
"C91ANS","Sin adeudos"
"C91ANT","Placa anterior: L41AFM"
"C91ANU","Sin adeudos"
"C91ANV","Adeudos"
"C91ANW","Adeudos"
"C91ANX","Sin adeudos"
"C91APA","Adeudos"
"C91APB","Sin adeudos"
"C91APE","Adeudos"
