"placa","estatus"
"C84BEE","Sin adeudos"
"C84BEF","Adeudos"
"C84BEG","Sin adeudos"
"C84BEJ","Sin adeudos"
"C84BEK","Sin adeudos"
"C84BEM","Sin adeudos"
"C84BEN","Sin adeudos"
"C84BEP","Adeudos"
"C84BES","ERROR. Revisar Placa"
"C84BET","ERROR. Revisar Placa"
"C84BEU","Sin adeudos"
"C84BEW","Sin adeudos"
"C84BEY","Sin adeudos"
"C84BEZ","Sin adeudos"
"C84BFA","Sin adeudos"
"C84BFD","Placa anterior: E22AAV"
"C84BFE","Sin adeudos"
"C84BFF","Sin adeudos"
"C84BFG","ERROR. Revisar Placa"
"C84BFJ","ERROR. Revisar Placa"
"C84BFK","Sin adeudos"
"C84BFL","Sin adeudos"
"C84BFS","Sin adeudos"
"C84BFT","Sin adeudos"
"C84BFU","Adeudos"
"C84BFV","Sin adeudos"
"C84BFX","Sin adeudos"
"C84BFY","Sin adeudos"
"C84BGA","Sin adeudos"
"C84BGB","Sin adeudos"
"C84BGC","Sin adeudos"
"C84BGE","Sin adeudos"
"C84BGG","Sin adeudos"
"C84BGJ","Sin adeudos"
"C84BGK","Sin adeudos"
"C84BGM","Placa anterior: 742XWS"
"C84BGN","Placa anterior: 118TEB"
"C84BGP","ERROR. Revisar Placa"
"C84BGR","Sin adeudos"
"C84BGX","Sin adeudos"
"C84BGZ","Sin adeudos"
"C84BHA","Sin adeudos"
"C84BHB","Sin adeudos"
"C84BHC","Sin adeudos"
"C84BHH","Sin adeudos"
"C84BHK","ERROR. Revisar Placa"
"C8500","ERROR. Revisar Placa"
"C8502","ERROR. Revisar Placa"
"C8503","El número de placa no se localizó en el padrón"
"C8504","El número de placa no se localizó en el padrón"
"C8505","Adeudos"
"C8506","Adeudos"
"C8507","El número de placa no se localizó en el padrón"
"C8508","Adeudos"
"C8509","Adeudos"
"C8510","El número de placa no se localizó en el padrón"
"C8511","El número de placa no se localizó en el padrón"
"C8512","El número de placa no se localizó en el padrón"
"C8513","Adeudos"
"C8514","Adeudos"
"C8515","Adeudos"
"C8516","ERROR. Revisar Placa"
"C8517","Adeudos"
"C8518","Adeudos"
"C8519","El número de placa no se localizó en el padrón"
"C8520","El número de placa no se localizó en el padrón"
"C8521","Sin adeudos"
"C8522","ERROR. Revisar Placa"
"C8523","ERROR. Revisar Placa"
"C8524","El número de placa no se localizó en el padrón"
"C8525","El número de placa no se localizó en el padrón"
"C8526","El número de placa no se localizó en el padrón"
"C8527","El número de placa no se localizó en el padrón"
"C8528","Sin adeudos"
"C8529","Sin adeudos"
"C8532","El número de placa no se localizó en el padrón"
"C8554","Adeudos"
"C8560","Adeudos"
"C8561","Adeudos"
"C8590","Sin adeudos"
"C8591","Adeudos"
"C8596","ERROR. Revisar Placa"
"C8597","Adeudos"
"C85AAA","Adeudos"
"C85AAB","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C85AAC","Sin adeudos"
"C85AAD","Sin adeudos"
"C85AAE","Adeudos"
"C85AAF","Sin adeudos"
"C85AAG","Sin adeudos"
"C85AAJ","Adeudos"
"C85AAK","Sin adeudos"
"C85AAL","Adeudos"
"C85AAN","Sin adeudos"
"C85AAP","Sin adeudos"
"C85AAR","Adeudos"
"C85AAS","Sin adeudos"
"C85AAT","Adeudos"
"C85AAU","El número de placa no se localizó en el padrón"
"C85AAV","ERROR. Revisar Placa"
"C85AAW","ERROR. Revisar Placa"
"C85AAX","ERROR. Revisar Placa"
"C85AAY","ERROR. Revisar Placa"
"C85ABA","Sin adeudos"
"C85ABB","Adeudos"
"C85ABC","ERROR. Revisar Placa"
"C85ABD","ERROR. Revisar Placa"
"C85ABE","Placa anterior: C85ABE"
"C85ABF","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C85ABG","Sin adeudos"
"C85ABH","Sin adeudos"
"C85ABJ","Sin adeudos"
"C85ABK","Adeudos"
"C85ABL","Adeudos"
"C85ABM","Sin adeudos"
"C85ABN","El número de placa no se localizó en el padrón"
"C85ABP","Adeudos"
"C85ABR","Adeudos"
"C85ABS","Adeudos"
"C85ABT","Adeudos"
"C85ABU","Sin adeudos"
"C85ABV","Adeudos"
"C85ABW","Sin adeudos"
"C85ABX","Adeudos"
"C85ABY","ERROR. Revisar Placa"
"C85ABZ","Adeudos"
"C85ACB","Adeudos"
"C85ACC","Adeudos"
"C85ACD","Adeudos"
"C85ACE","Adeudos"
"C85ACG","Adeudos"
"C85ACH","Placa anterior: C85ACH"
"C85ACJ","Adeudos"
"C85ACN","Sin adeudos"
"C85ACP","Adeudos"
"C85ACR","Sin adeudos"
"C85ACS","Adeudos"
"C85ACT","Adeudos"
"C85ACU","Sin adeudos"
"C85ACV","ERROR. Revisar Placa"
"C85ACW","ERROR. Revisar Placa"
"C85ACX","ERROR. Revisar Placa"
"C85ACY","Sin adeudos"
"C85ADB","Sin adeudos"
"C85ADC","Adeudos"
"C85ADD","Adeudos"
"C85ADE","Placa anterior: C85ADE"
"C85ADH","Adeudos"
"C85ADJ","Sin adeudos"
"C85ADK","Sin adeudos"
"C85ADL","Sin adeudos"
"C85ADN","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C85ADP","Sin adeudos"
"C85ADR","Sin adeudos"
"C85ADS","Placa anterior: C85ADS"
"C85ADT","Sin adeudos"
"C85ADU","Adeudos"
"C85ADV","Adeudos"
"C85ADW","El número de placa no se localizó en el padrón"
"C85ADX","Sin adeudos"
"C85ADY","Adeudos"
"C85ADZ","Placa anterior: C85ADZ"
"C85AEA","Adeudos"
"C85AEB","ERROR. Revisar Placa"
"C85AEC","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C85AED","ERROR. Revisar Placa"
"C85AEE","Adeudos"
"C85AEF","ERROR. Revisar Placa"
"C85AEG","Adeudos"
"C85AEH","Adeudos"
"C85AEJ","Sin adeudos"
"C85AEL","Sin adeudos"
"C85AEN","Placa anterior: 531ZLF"
"C85AEP","Sin adeudos"
"C85AER","Adeudos"
"C85AES","ERROR. Revisar Placa"
"C85AEU","Placa anterior: 315ZUG"
"C85AEV","Adeudos"
