"placa","estatus"
"CD851","Sin adeudos"
"CD853","Placa anterior: 808ESF"
"CD854","Placa anterior: CD854"
"CD855","Sin adeudos"
"CD856","El número de placa no se localizó en el padrón"
"CD857","El número de placa no se localizó en el padrón"
"CD862","Sin adeudos"
"CD863","Placa anterior: 687SZM"
"CD864","Sin adeudos"
"CD865","Sin adeudos"
"CD866","Sin adeudos"
"CD870","Sin adeudos"
"CD871","Sin adeudos"
"CD873","Sin adeudos"
"CD874","El número de placa no se localizó en el padrón"
"CD875","El número de placa no se localizó en el padrón"
"CD877","Adeudos"
"CD878","Sin adeudos"
"CD880","Adeudos"
"CD881","El número de placa no se localizó en el padrón"
"CD882","Sin adeudos"
"CD883","Placa anterior: 852RKM"
"CD884","Sin adeudos"
"CD885","El número de placa no se localizó en el padrón"
"CD886","Sin adeudos"
"CD887","Sin adeudos"
"CD888","El número de placa no se localizó en el padrón"
"CD900","Sin adeudos"
"CD901","El número de placa no se localizó en el padrón"
"CD902","Sin adeudos"
"CD903","Adeudos"
"CD904","El número de placa no se localizó en el padrón"
"CD907","Sin adeudos"
"CD909","Sin adeudos"
"CD910","El número de placa no se localizó en el padrón"
"CD913","El número de placa no se localizó en el padrón"
"CD916","Sin adeudos"
"CD917","Sin adeudos"
"CD919","Placa anterior: 142TSC"
"CD920","Sin adeudos"
"CD921","El número de placa no se localizó en el padrón"
"CD922","Placa anterior: 273MKF"
"CD923","El número de placa no se localizó en el padrón"
"CD928","Sin adeudos"
"CD929","Sin adeudos"
"CD932","El número de placa no se localizó en el padrón"
"CD933","El número de placa no se localizó en el padrón"
"CD934","El número de placa no se localizó en el padrón"
"CD937","El número de placa no se localizó en el padrón"
"CD938","Sin adeudos"
"CD939","El número de placa no se localizó en el padrón"
"CD941","Sin adeudos"
"CD942","El número de placa no se localizó en el padrón"
"CD943","Sin adeudos"
"CD945","Sin adeudos"
"CD947","Sin adeudos"
"CD948","El número de placa no se localizó en el padrón"
"CD950","Sin adeudos"
"CD955","Sin adeudos"
"CD956","Placa anterior: 304ZAL"
"CD959","Sin adeudos"
"CD961","Placa anterior: 838MAN"
"CD964","El número de placa no se localizó en el padrón"
"CD965","Sin adeudos"
"CD968","Placa anterior: 778MRP"
"CD971","Sin adeudos"
"CD973","Placa anterior: 285PWM"
"CD975","Sin adeudos"
"CD977","El número de placa no se localizó en el padrón"
"CD980","El número de placa no se localizó en el padrón"
"CD981","Sin adeudos"
"CD985","El número de placa no se localizó en el padrón"
"CD986","El número de placa no se localizó en el padrón"
"CD987","Sin adeudos"
"CD989","El número de placa no se localizó en el padrón"
"CD990","Sin adeudos"
"CD992","El número de placa no se localizó en el padrón"
"CD993","Placa anterior: 847MBU"
"CD994","ERROR. Revisar Placa"
"CD997","El número de placa no se localizó en el padrón"
"CD999","El número de placa no se localizó en el padrón"
"CE001","Sin adeudos"
"CE003","El número de placa no se localizó en el padrón"
"CE004","El número de placa no se localizó en el padrón"
"CE006","Sin adeudos"
"CE008","Sin adeudos"
"CE009","El número de placa no se localizó en el padrón"
"CE014","El número de placa no se localizó en el padrón"
"CE016","Adeudos"
"CE018","Sin adeudos"
"CE019","Sin adeudos"
"CE020","Adeudos"
"CE022","El número de placa no se localizó en el padrón"
"CE027","Sin adeudos"
"CE028","Sin adeudos"
