"placa","estatus"
"C85APS","Sin adeudos"
"C85APT","ERROR. Revisar Placa"
"C85APU","Adeudos"
"C85APX","Placa anterior: C85APX"
"C85APY","Sin adeudos"
"C85APZ","Adeudos"
"C85ARA","ERROR. Revisar Placa"
"C85ARB","Sin adeudos"
"C85ARC","Sin adeudos"
"C85ARD","Placa anterior: 297YYT"
"C85ARE","Placa anterior: L88AMW"
"C85ARF","Sin adeudos"
"C85ARG","Sin adeudos"
"C85ARH","Placa anterior: L83ACS"
"C85ARJ","Sin adeudos"
"C85ARK","Adeudos"
"C85ARM","Sin adeudos"
"C85ARP","Sin adeudos"
"C85ARR","ERROR. Revisar Placa"
"C85ARV","ERROR. Revisar Placa"
"C85ARW","Adeudos"
"C85ARX","Sin adeudos"
"C85ARZ","Sin adeudos"
"C85ASB","Adeudos"
"C85ASD","Adeudos"
"C85ASE","Sin adeudos"
"C85ASF","El número de placa no se localizó en el padrón"
"C85ASG","Adeudos"
"C85ASJ","Adeudos"
"C85ASN","Sin adeudos"
"C85ASP","ERROR. Revisar Placa"
"C85ASR","Sin adeudos"
"C85AST","Sin adeudos"
"C85ASV","Sin adeudos"
"C85ASW","ERROR. Revisar Placa"
"C85ASX","ERROR. Revisar Placa"
"C85ASY","Sin adeudos"
"C85ASZ","Adeudos"
"C85ATA","Sin adeudos"
"C85ATB","ERROR. Revisar Placa"
"C85ATC","ERROR. Revisar Placa"
"C85ATD","Sin adeudos"
"C85ATE","El número de placa no se localizó en el padrón"
"C85ATG","Adeudos"
"C85ATJ","ERROR. Revisar Placa"
"C85ATK","ERROR. Revisar Placa"
"C85ATL","Sin adeudos"
"C85ATM","Sin adeudos"
"C85ATN","Sin adeudos"
"C85ATT","Sin adeudos"
"C85ATW","Sin adeudos"
"C85ATX","Sin adeudos"
"C85ATZ","Sin adeudos"
"C85AUC","Sin adeudos"
"C85AUD","Sin adeudos"
"C85AUJ","Sin adeudos"
"C85AUM","Sin adeudos"
"C85AUP","Adeudos"
"C85AUS","Sin adeudos"
"C85AUT","Sin adeudos"
"C85AUV","Placa anterior: A49AUM"
"C85AUX","Adeudos"
"C85AUZ","Sin adeudos"
"C85AVE","Sin adeudos"
"C85AVH","Sin adeudos"
"C85AVJ","Sin adeudos"
"C85AVL","Sin adeudos"
"C85AVM","Sin adeudos"
"C85AVN","Sin adeudos"
"C85AVP","Adeudos"
"C85AVS","Sin adeudos"
"C85AVU","Adeudos"
"C85AVV","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C85AVW","Adeudos"
"C85AVX","ERROR. Revisar Placa"
"C85AWA","Sin adeudos"
"C85AWD","Sin adeudos"
"C85AWE","Sin adeudos"
"C85AWF","Adeudos"
"C85AWH","ERROR. Revisar Placa"
"C85AWL","Sin adeudos"
"C85AWM","Adeudos"
"C85AWS","Adeudos"
"C85AWT","Sin adeudos"
"C85AWU","Adeudos"
"C85AWW","Adeudos"
"C85AWX","ERROR. Revisar Placa"
"C85AWY","Sin adeudos"
"C85AWZ","Adeudos"
"C85AXA","ERROR. Revisar Placa"
"C85AXB","Sin adeudos"
"C85AXE","Sin adeudos"
"C85AXH","Sin adeudos"
"C85AXJ","Sin adeudos"
"C85AXL","Sin adeudos"
"C85AXN","Sin adeudos"
"C85AXV","Adeudos"
"C85AXX","Sin adeudos"
"C85AXY","Adeudos"
"C85AXZ","Sin adeudos"
"C85AYB","Sin adeudos"
"C85AYD","Adeudos"
"C85AYE","Sin adeudos"
"C85AYG","Adeudos"
"C85AYK","Adeudos"
"C85AYN","Adeudos"
"C85AYP","Sin adeudos"
"C85AYR","Adeudos"
"C85AYT","Sin adeudos"
"C85AYU","Adeudos"
"C85AYW","Sin adeudos"
"C85AYX","Adeudos"
"C85AYZ","Sin adeudos"
"C85AZA","Adeudos"
"C85AZB","Sin adeudos"
"C85AZF","Sin adeudos"
"C85AZG","Sin adeudos"
"C85AZJ","Adeudos"
"C85AZL","Sin adeudos"
"C85AZM","Sin adeudos"
"C85AZN","Placa anterior: C85AZN"
"C85AZP","Sin adeudos"
"C85AZR","Sin adeudos"
"C85AZT","Sin adeudos"
"C85AZU","Sin adeudos"
"C85AZV","Sin adeudos"
"C85AZX","Sin adeudos"
"C85AZY","Sin adeudos"
"C85AZZ","Sin adeudos"
"C85BAA","Sin adeudos"
"C85BAB","ERROR. Revisar Placa"
"C85BAC","Sin adeudos"
"C85BAD","Sin adeudos"
"C85BAG","Sin adeudos"
"C85BAK","Placa anterior: 192WVP"
"C85BAM","Sin adeudos"
"C85BAR","Adeudos"
"C85BAS","ERROR. Revisar Placa"
"C85BAT","Sin adeudos"
"C85BAU","Sin adeudos"
"C85BAY","Placa anterior: 394RAN"
"C85BAZ","Sin adeudos"
"C85BBB","Sin adeudos"
"C85BBC","Sin adeudos"
"C85BBD","Sin adeudos"
"C85BBE","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C85BBG","Sin adeudos"
"C85BBJ","Sin adeudos"
"C85BBK","Sin adeudos"
"C85BBM","Sin adeudos"
"C85BBN","ERROR. Revisar Placa"
"C85BBS","Adeudos"
"C85BBT","Sin adeudos"
"C85BBV","Sin adeudos"
"C85BBX","Sin adeudos"
"C85BBY","Sin adeudos"
"C85BCA","Sin adeudos"
"C85BCB","Sin adeudos"
"C85BCC","Sin adeudos"
"C85BCE","Placa anterior: H54BAM"
"C85BCF","Sin adeudos"
"C85BCG","Placa anterior: 749XFD"
"C85BCH","Sin adeudos"
"C85BCL","Sin adeudos"
"C85BCP","Sin adeudos"
"C85BCR","Adeudos"
"C85BCS","Sin adeudos"
"C85BCT","Sin adeudos"
"C85BCV","Sin adeudos"
"C85BCX","Adeudos"
