"placa","estatus"
"C92BBJ","Sin adeudos"
"C92BBK","Placa anterior: X51AGA"
"C92BBL","Sin adeudos"
"C92BBM","Placa anterior: B55BBT"
"C92BBN","Placa anterior: 204ZPW"
"C92BBT","Sin adeudos"
"C92BBU","Placa anterior: T80AMP"
"C92BBV","Sin adeudos"
"C92BBX","Sin adeudos"
"C92BBY","Sin adeudos"
"C92BCA","Sin adeudos"
"C92BCB","ERROR. Revisar Placa"
"C92BCC","Adeudos"
"C92BCG","ERROR. Revisar Placa"
"C92BCH","Placa anterior: 622NNZ"
"C92BCJ","Sin adeudos"
"C92BCL","Sin adeudos"
"C92BCM","Sin adeudos"
"C92BCN","Sin adeudos"
"C92BCP","Adeudos"
"C92BCR","Sin adeudos"
"C92BCT","Sin adeudos"
"C92BCU","Sin adeudos"
"C92BCV","Sin adeudos"
"C92BCX","Placa anterior: D07AWS"
"C92BCY","Adeudos"
"C92BDA","Sin adeudos"
"C92BDC","Sin adeudos"
"C92BDE","Sin adeudos"
"C92BDF","Sin adeudos"
"C92BDH","Sin adeudos"
"C92BDK","Sin adeudos"
"C92BDL","Sin adeudos"
"C92BDM","Sin adeudos"
"C92BDN","Sin adeudos"
"C92BDR","Adeudos"
"C92BDT","Sin adeudos"
"C92BDU","Sin adeudos"
"C92BDV","Sin adeudos"
"C92BDY","ERROR. Revisar Placa"
"C92BDZ","Sin adeudos"
"C92BEA","Sin adeudos"
"C92BEB","Sin adeudos"
"C92BEC","Sin adeudos"
"C92BED","Sin adeudos"
"C92BEF","Sin adeudos"
"C92BEG","Sin adeudos"
"C92BEJ","Sin adeudos"
"C92BEK","Sin adeudos"
"C92BEM","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C92BEP","Sin adeudos"
"C92BES","Sin adeudos"
"C92BEU","Sin adeudos"
"C92BEY","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C92BEZ","Adeudos"
"C92BFA","ERROR. Revisar Placa"
"C92BFB","Sin adeudos"
"C92BFE","Placa anterior: T82AUK"
"C92BFF","Sin adeudos"
"C92BFG","Sin adeudos"
"C92BFJ","Sin adeudos"
"C92BFK","Sin adeudos"
"C92BFL","Sin adeudos"
"C92BFM","Sin adeudos"
"C92BFP","Placa anterior: 621ZGS"
"C92BFS","Sin adeudos"
"C92BFT","Adeudos"
"C92BFW","Sin adeudos"
"C92BFX","Sin adeudos"
"C92BFZ","Sin adeudos"
"C92BGA","Sin adeudos"
"C92BGD","Sin adeudos"
"C92BGH","Placa anterior: C92BGH"
"C92BGJ","Sin adeudos"
"C92BGK","Sin adeudos"
"C92BGM","Adeudos"
"C92BGP","Sin adeudos"
"C92BGR","Sin adeudos"
"C92BGT","Sin adeudos"
"C92BGX","Sin adeudos"
"C92BGZ","Sin adeudos"
"C92BHA","Sin adeudos"
"C92BHB","Sin adeudos"
"C92BHC","Sin adeudos"
"C92BHD","Sin adeudos"
