"placa","estatus"
"C95AEU","ERROR. Revisar Placa"
"C95AEV","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C95AEW","Sin adeudos"
"C95AEX","Sin adeudos"
"C95AEY","Adeudos"
"C95AEZ","Adeudos"
"C95AFA","Adeudos"
"C95AFB","Sin adeudos"
"C95AFC","Adeudos"
"C95AFD","El número de placa no se localizó en el padrón"
"C95AFE","Adeudos"
"C95AFF","Sin adeudos"
"C95AFH","Adeudos"
"C95AFJ","Sin adeudos"
"C95AFK","Sin adeudos"
"C95AFL","Sin adeudos"
"C95AFM","Sin adeudos"
"C95AFU","Sin adeudos"
"C95AFV","Sin adeudos"
"C95AFW","Sin adeudos"
"C95AFX","Adeudos"
"C95AFY","Sin adeudos"
"C95AGA","Placa anterior: C95AGA"
"C95AGB","Adeudos"
"C95AGD","El número de placa no se localizó en el padrón"
"C95AGE","Sin adeudos"
"C95AGF","Sin adeudos"
"C95AGJ","Sin adeudos"
"C95AGK","Sin adeudos"
"C95AGL","Sin adeudos"
"C95AGM","Sin adeudos"
"C95AGN","Adeudos"
"C95AGP","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C95AGR","Sin adeudos"
"C95AGT","Sin adeudos"
"C95AGU","Sin adeudos"
"C95AGV","ERROR. Revisar Placa"
"C95AGW","El número de placa no se localizó en el padrón"
"C95AGX","Sin adeudos"
"C95AGY","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C95AGZ","Sin adeudos"
"C95AHA","Sin adeudos"
"C95AHC","Sin adeudos"
"C95AHE","Adeudos"
"C95AHF","Sin adeudos"
"C95AHG","Adeudos"
"C95AHH","Sin adeudos"
"C95AHJ","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C95AHK","Sin adeudos"
"C95AHL","Sin adeudos"
"C95AHN","Sin adeudos"
"C95AHP","Sin adeudos"
