"placa","estatus"
"C98BFD","Adeudos"
"C98BFE","Sin adeudos"
"C98BFF","Sin adeudos"
"C98BFG","Sin adeudos"
"C98BFJ","Sin adeudos"
"C98BFK","Sin adeudos"
"C98BFP","Sin adeudos"
"C98BFR","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C98BFT","Sin adeudos"
"C98BFV","Sin adeudos"
"C98BFX","Sin adeudos"
"C98BFY","Sin adeudos"
"C98BGE","Sin adeudos"
"C98BGF","Sin adeudos"
"C98BGG","Sin adeudos"
"C98BGH","Sin adeudos"
"C98BGJ","Sin adeudos"
"C98BGK","Sin adeudos"
"C98BGM","Sin adeudos"
"C98BGP","Sin adeudos"
"C98BGR","Sin adeudos"
"C98BGT","Sin adeudos"
"C98BGX","Sin adeudos"
"C98BGZ","Sin adeudos"
"C98BHA","Sin adeudos"
"C98BHB","Sin adeudos"
"C98BHC","ERROR. Revisar Placa"
"C98BHD","Sin adeudos"
"C98BHF","Sin adeudos"
"C9901","Adeudos"
"C9902","Adeudos"
"C9903","Adeudos"
"C9904","Adeudos"
"C9905","Adeudos"
"C9906","Adeudos"
"C9907","Adeudos"
"C9908","Adeudos"
"C9909","Adeudos"
"C9910","Adeudos"
"C9911","Adeudos"
"C9912","Adeudos"
"C9915","Sin adeudos"
"C9916","Sin adeudos"
"C9917","Adeudos"
"C9918","El número de placa no se localizó en el padrón"
"C9919","El número de placa no se localizó en el padrón"
"C9920","El número de placa no se localizó en el padrón"
"C9921","El número de placa no se localizó en el padrón"
"C9922","El número de placa no se localizó en el padrón"
"C9923","El número de placa no se localizó en el padrón"
"C9924","El número de placa no se localizó en el padrón"
"C9925","El número de placa no se localizó en el padrón"
"C9926","El número de placa no se localizó en el padrón"
"C9927","El número de placa no se localizó en el padrón"
"C9928","El número de placa no se localizó en el padrón"
"C9929","El número de placa no se localizó en el padrón"
"C9931","El número de placa no se localizó en el padrón"
"C9932","El número de placa no se localizó en el padrón"
"C9948","Sin adeudos"
"C9980","Sin adeudos"
"C9991","Adeudos"
"C99AAA","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C99AAB","Sin adeudos"
"C99AAC","Sin adeudos"
"C99AAE","Adeudos"
"C99AAF","Adeudos"
"C99AAG","Adeudos"
"C99AAJ","Sin adeudos"
"C99AAK","Adeudos"
"C99AAL","Placa anterior: C99AAL"
"C99AAM","Sin adeudos"
"C99AAN","Adeudos"
"C99AAR","ERROR. Revisar Placa"
"C99AAS","ERROR. Revisar Placa"
"C99AAT","ERROR. Revisar Placa"
"C99AAU","Adeudos"
"C99AAV","Sin adeudos"
"C99AAW","Sin adeudos"
"C99AAX","ERROR. Revisar Placa"
"C99AAY","Sin adeudos"
"C99AAZ","ERROR. Revisar Placa"
"C99ABA","Sin adeudos"
"C99ABC","Sin adeudos"
"C99ABD","Adeudos"
