"placa","estatus"
"C97AMB","Adeudos"
"C97AMC","Adeudos"
"C97AMD","Placa anterior: C97AMD"
"C97AMF","Adeudos"
"C97AMG","Adeudos"
"C97AMH","Sin adeudos"
"C97AMJ","Adeudos"
"C97AML","El número de placa no se localizó en el padrón"
"C97AMP","Sin adeudos"
"C97AMR","Sin adeudos"
"C97AMT","Sin adeudos"
"C97AMV","Sin adeudos"
"C97AMW","Sin adeudos"
"C97AMX","Sin adeudos"
"C97AMY","Sin adeudos"
"C97AMZ","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C97ANA","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C97ANC","Sin adeudos"
"C97AND","Adeudos"
"C97ANE","Sin adeudos"
"C97ANF","Adeudos"
"C97ANJ","Sin adeudos"
"C97ANL","Adeudos"
"C97ANN","Sin adeudos"
"C97ANP","Sin adeudos"
"C97ANR","Adeudos"
"C97ANS","Sin adeudos"
"C97ANV","Adeudos"
"C97ANW","Adeudos"
"C97ANX","Sin adeudos"
"C97ANZ","Adeudos"
"C97APB","Adeudos"
"C97APC","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C97APD","Adeudos"
"C97APE","Adeudos"
"C97APF","Adeudos"
"C97APG","Sin adeudos"
"C97APH","Adeudos"
"C97APN","Sin adeudos"
"C97APV","Adeudos"
"C97APX","Sin adeudos"
"C97APY","Placa anterior: 132ZDN"
"C97APZ","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C97ARA","Sin adeudos"
"C97ARB","Adeudos"
"C97ARC","Sin adeudos"
"C97ARG","Adeudos"
"C97ARJ","Adeudos"
"C97ARK","Sin adeudos"
"C97ARM","Sin adeudos"
"C97ARP","Adeudos"
"C97ARR","Sin adeudos"
"C97ART","Placa anterior: T89AKB"
"C97ARW","Adeudos"
"C97ARX","ERROR. Revisar Placa"
"C97ARY","Sin adeudos"
"C97ARZ","Adeudos"
"C97ASA","Sin adeudos"
"C97ASB","Adeudos"
"C97ASC","Adeudos"
"C97ASE","Sin adeudos"
"C97ASF","Sin adeudos"
"C97ASJ","Sin adeudos"
"C97ASN","Sin adeudos"
"C97ASP","Placa anterior: 155VWE"
"C97ASR","Sin adeudos"
"C97AST","Adeudos"
"C97ASU","Adeudos"
"C97ASW","Sin adeudos"
"C97ASX","Adeudos"
"C97ASZ","Sin adeudos"
"C97ATA","Sin adeudos"
"C97ATC","Adeudos"
"C97ATD","Adeudos"
"C97ATF","Sin adeudos"
"C97ATG","Sin adeudos"
"C97ATH","Sin adeudos"
"C97ATJ","Placa anterior: K87ADM"
"C97ATL","Sin adeudos"
"C97ATN","Adeudos"
"C97ATP","Sin adeudos"
"C97ATR","Adeudos"
"C97ATT","Sin adeudos"
"C97ATU","Placa anterior: A90AHJ"
"C97ATX","Sin adeudos"
"C97AUB","Adeudos"
"C97AUC","Sin adeudos"
"C97AUD","Placa anterior: C97AUD"
"C97AUE","Sin adeudos"
"C97AUF","Sin adeudos"
"C97AUL","El número de placa no se localizó en el padrón"
"C97AUN","Sin adeudos"
"C97AUR","Adeudos"
"C97AUS","Sin adeudos"
"C97AUW","Adeudos"
"C97AUY","Adeudos"
"C97AUZ","Sin adeudos"
"C97AVA","Adeudos"
"C97AVC","Sin adeudos"
"C97AVD","Adeudos"
"C97AVE","Sin adeudos"
"C97AVH","Sin adeudos"
"C97AVJ","Sin adeudos"
"C97AVN","Placa anterior: C97AVN"
"C97AVS","Sin adeudos"
"C97AVT","Adeudos"
"C97AVV","ERROR. Revisar Placa"
"C97AVW","ERROR. Revisar Placa"
"C97AVX","Sin adeudos"
"C97AVZ","Placa anterior: A54AGU"
"C97AWD","Sin adeudos"
"C97AWH","Sin adeudos"
"C97AWJ","Adeudos"
"C97AWL","Placa anterior: 113YDF"
"C97AWN","Adeudos"
"C97AWS","Sin adeudos"
"C97AWT","Adeudos"
"C97AWV","Adeudos"
"C97AWY","Sin adeudos"
"C97AXA","Sin adeudos"
"C97AXB","Placa anterior: 408XBT"
"C97AXC","Sin adeudos"
