"placa","estatus"
"C96BGP","ERROR. Revisar Placa"
"C96BGR","Sin adeudos"
"C96BGU","Sin adeudos"
"C96BGX","Sin adeudos"
"C96BGZ","Sin adeudos"
"C96BHA","Sin adeudos"
"C96BHB","Sin adeudos"
"C96BHC","Sin adeudos"
"C96BHD","Sin adeudos"
"C9700","Sin adeudos"
"C9701","Sin adeudos"
"C9702","Adeudos"
"C9704","Adeudos"
"C9705","Adeudos"
"C9706","Adeudos"
"C9707","Sin adeudos"
"C9711","Adeudos"
"C9712","Adeudos"
"C9713","Adeudos"
"C9714","Adeudos"
"C9715","Adeudos"
"C9716","Adeudos"
"C9717","Adeudos"
"C9718","Adeudos"
"C9719","Adeudos"
"C9720","Adeudos"
"C9721","Adeudos"
"C9722","Adeudos"
"C9723","Adeudos"
"C9724","Adeudos"
"C9725","Adeudos"
"C9726","Adeudos"
"C9727","Adeudos"
"C9728","Adeudos"
"C9729","Adeudos"
"C9730","Adeudos"
"C9731","Adeudos"
"C9733","Adeudos"
"C9737","Adeudos"
"C9738","Adeudos"
"C9739","Adeudos"
"C9740","Sin adeudos"
"C9742","Adeudos"
"C9747","Sin adeudos"
"C9764","Adeudos"
"C9766","El número de placa no se localizó en el padrón"
"C9791","Sin adeudos"
"C9792","Sin adeudos"
"C9793","Sin adeudos"
"C9794","Sin adeudos"
"C9795","Sin adeudos"
"C9796","Sin adeudos"
"C9797","Sin adeudos"
"C9798","ERROR. Revisar Placa"
"C9799","ERROR. Revisar Placa"
"C97AAA","Sin adeudos"
"C97AAB","Sin adeudos"
"C97AAC","Adeudos"
"C97AAE","ERROR. Revisar Placa"
"C97AAF","ERROR. Revisar Placa"
"C97AAG","Sin adeudos"
"C97AAH","Sin adeudos"
"C97AAJ","Sin adeudos"
"C97AAK","Sin adeudos"
"C97AAL","Sin adeudos"
"C97AAM","Sin adeudos"
"C97AAN","Adeudos"
"C97AAP","Sin adeudos"
"C97AAR","Sin adeudos"
"C97AAS","Adeudos"
"C97AAT","Sin adeudos"
"C97AAV","Adeudos"
"C97AAW","Adeudos"
"C97AAX","Sin adeudos"
"C97AAY","Sin adeudos"
"C97ABA","Sin adeudos"
"C97ABB","Adeudos"
"C97ABC","Sin adeudos"
"C97ABD","Sin adeudos"
"C97ABE","Adeudos"
"C97ABF","Sin adeudos"
"C97ABH","Adeudos"
"C97ABJ","Adeudos"
"C97ABK","Adeudos"
"C97ABM","Adeudos"
"C97ABN","Sin adeudos"
"C97ABP","Adeudos"
"C97ABR","Sin adeudos"
"C97ABS","Adeudos"
"C97ABT","Adeudos"
"C97ABU","Adeudos"
"C97ABV","Adeudos"
"C97ABW","Sin adeudos"
"C97ABX","Adeudos"
"C97ABY","Sin adeudos"
"C97ACB","Sin adeudos"
"C97ACD","Adeudos"
"C97ACE","Sin adeudos"
"C97ACG","Sin adeudos"
"C97ACJ","Adeudos"
"C97ACN","Sin adeudos"
"C97ACR","Placa anterior: C97ACR"
"C97ACS","Adeudos"
"C97ACU","Sin adeudos"
"C97ACV","Sin adeudos"
"C97ACW","Sin adeudos"
"C97ACX","Sin adeudos"
"C97ADB","Sin adeudos"
"C97ADC","Sin adeudos"
"C97ADD","Adeudos"
"C97ADE","Sin adeudos"
"C97ADF","Placa anterior: 950WCR"
"C97ADG","Sin adeudos"
"C97ADH","El número de placa no se localizó en el padrón"
"C97ADJ","Adeudos"
"C97ADK","Sin adeudos"
"C97ADL","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C97ADM","Sin adeudos"
"C97ADN","Adeudos"
"C97ADP","Adeudos"
"C97ADR","Adeudos"
"C97ADS","Sin adeudos"
"C97ADT","Adeudos"
"C97ADU","Sin adeudos"
"C97ADV","El número de placa no se localizó en el padrón"
"C97ADW","Sin adeudos"
"C97ADX","Sin adeudos"
"C97ADZ","Sin adeudos"
"C97AEA","Adeudos"
"C97AEC","Placa anterior: C97AEC"
"C97AED","Adeudos"
"C97AEE","Sin adeudos"
"C97AEF","Sin adeudos"
"C97AEG","Adeudos"
