"placa","estatus"
"C96BEK","Sin adeudos"
"C96BEL","Sin adeudos"
"C96BEM","Sin adeudos"
"C96BEN","Sin adeudos"
"C96BEP","Sin adeudos"
"C96BES","Sin adeudos"
"C96BEU","Sin adeudos"
"C96BEV","Sin adeudos"
"C96BFB","Sin adeudos"
"C96BFF","Sin adeudos"
"C96BFH","Sin adeudos"
"C96BFJ","ERROR. Revisar Placa"
"C96BFM","Sin adeudos"
"C96BFT","Sin adeudos"
"C96BFV","Sin adeudos"
"C96BFW","Sin adeudos"
"C96BFX","Sin adeudos"
"C96BFY","Placa anterior: 803YAJ"
"C96BFZ","Sin adeudos"
"C96BGA","Adeudos"
"C96BGC","El número de placa no se localizó en el padrón"
"C96BGE","Sin adeudos"
"C96BGF","Sin adeudos"
"C96BGH","Sin adeudos"
"C96BGJ","Sin adeudos"
"C96BGK","Placa anterior: 943ZZR"
