"placa","estatus"
"CS320","El número de placa no se localizó en el padrón"
"CS321","Adeudos"
"CS324","Adeudos"
"CS326","Adeudos"
"CS327","Sin adeudos"
"CS328","El número de placa no se localizó en el padrón"
"CS331","El número de placa no se localizó en el padrón"
"CS335","Sin adeudos"
"CS341","Sin adeudos"
"CS342","El número de placa no se localizó en el padrón"
"CS343","Placa anterior: 980NWS"
"CS344","Placa anterior: 145MHG"
"CS345","El número de placa no se localizó en el padrón"
"CS347","El número de placa no se localizó en el padrón"
"CS349","El número de placa no se localizó en el padrón"
"CS350","El número de placa no se localizó en el padrón"
"CS352","Sin adeudos"
"CS354","Adeudos"
"CS358","Placa anterior: 175FEK"
"CS361","Sin adeudos"
"CS362","El número de placa no se localizó en el padrón"
"CS370","Sin adeudos"
"CS371","El número de placa no se localizó en el padrón"
"CS372","Sin adeudos"
"CS376","Adeudos"
"CS377","Adeudos"
"CS378","Placa anterior: 176NJC"
"CS379","Placa anterior: 605MZF"
"CS380","Adeudos"
"CS381","Placa anterior: 759PTR"
"CS382","El número de placa no se localizó en el padrón"
"CS383","Adeudos"
"CS387","Sin adeudos"
"CS388","El número de placa no se localizó en el padrón"
"CS389","Adeudos"
"CS392","Sin adeudos"
"CS393","El número de placa no se localizó en el padrón"
"CS394","Sin adeudos"
"CS398","El número de placa no se localizó en el padrón"
"CS399","Sin adeudos"
"CS400","Placa anterior: 462BKF"
"CS401","Sin adeudos"
"CS402","El número de placa no se localizó en el padrón"
"CS409","El número de placa no se localizó en el padrón"
"CS410","El número de placa no se localizó en el padrón"
"CS416","Placa anterior: 118PXY"
"CS424","El número de placa no se localizó en el padrón"
"CS427","El número de placa no se localizó en el padrón"
"CS428","El número de placa no se localizó en el padrón"
"CS429","Sin adeudos"
"CS431","Sin adeudos"
"CS433","El número de placa no se localizó en el padrón"
"CS434","Sin adeudos"
"CS435","Adeudos"
"CS438","Sin adeudos"
"CS441","Adeudos"
"CS442","Sin adeudos"
"CS448","Sin adeudos"
"CS452","Adeudos"
"CS453","El número de placa no se localizó en el padrón"
"CS455","Adeudos"
"CS457","Adeudos"
"CS458","Sin adeudos"
"CS459","Sin adeudos"
"CS461","Sin adeudos"
"CS465","El número de placa no se localizó en el padrón"
"CS469","Placa anterior: 330NCL"
"CS470","Adeudos"
"CS471","El número de placa no se localizó en el padrón"
"CS480","Placa anterior: 476HAJ"
"CS484","Adeudos"
"CS485","Sin adeudos"
"CS487","Adeudos"
"CS488","Adeudos"
"CS489","Sin adeudos"
"CS492","Sin adeudos"
"CS494","Placa anterior: 842MBB"
"CS506","Sin adeudos"
"CS507","Sin adeudos"
"CS509","El número de placa no se localizó en el padrón"
"CS510","Adeudos"
"CS512","El número de placa no se localizó en el padrón"
"CS516","Sin adeudos"
"CS520","El número de placa no se localizó en el padrón"
"CS522","Adeudos"
"CS523","El número de placa no se localizó en el padrón"
"CS524","El número de placa no se localizó en el padrón"
"CS525","Sin adeudos"
"CS526","Placa anterior: 905NCW"
"CS532","Sin adeudos"
"CS540","El número de placa no se localizó en el padrón"
"CS541","El número de placa no se localizó en el padrón"
"CS544","El número de placa no se localizó en el padrón"
"CS550","El número de placa no se localizó en el padrón"
"CS551","Placa anterior: 888MXM"
"CS553","Sin adeudos"
"CS554","Sin adeudos"
"CS560","Sin adeudos"
"CS561","Adeudos"
"CS563","Adeudos"
"CS564","El número de placa no se localizó en el padrón"
"CS566","Adeudos"
"CS567","Sin adeudos"
"CS568","Sin adeudos"
"CS571","El número de placa no se localizó en el padrón"
"CS573","El número de placa no se localizó en el padrón"
"CS574","El número de placa no se localizó en el padrón"
"CS575","Adeudos"
"CS576","Adeudos"
"CS577","Adeudos"
"CS578","Sin adeudos"
"CS579","El número de placa no se localizó en el padrón"
"CS582","Placa anterior: 967NAL"
"CS586","Placa anterior: 794KGD"
"CS587","El número de placa no se localizó en el padrón"
"CS589","Adeudos"
"CS594","Sin adeudos"
"CS601","Adeudos"
"CS609","Adeudos"
"CS610","El número de placa no se localizó en el padrón"
"CS614","Adeudos"
"CS618","Adeudos"
"CS636","Placa anterior: CM799"
"CS637","Placa anterior: CN783"
"CS639","Sin adeudos"
"CS640","Adeudos"
"CS642","Sin adeudos"
"CS643","Adeudos"
"CS644","El número de placa no se localizó en el padrón"
"CS646","Placa anterior: CN661"
"CS657","Sin adeudos"
"CS663","Placa anterior: CN579"
"CS666","El número de placa no se localizó en el padrón"
"CS667","Sin adeudos"
"CS669","Adeudos"
"CS674","Adeudos"
"CS682","Adeudos"
"CS683","Adeudos"
"CS689","Adeudos"
"CS694","Adeudos"
"CS701","Sin adeudos"
"CS703","Sin adeudos"
"CS704","Adeudos"
"CS707","Sin adeudos"
"CS708","Adeudos"
"CS709","Adeudos"
"CS710","El número de placa no se localizó en el padrón"
"CS711","El número de placa no se localizó en el padrón"
"CS716","Placa anterior: 815PSA"
"CS719","El número de placa no se localizó en el padrón"
"CS721","Sin adeudos"
"CS723","Sin adeudos"
"CS725","El número de placa no se localizó en el padrón"
"CS727","El número de placa no se localizó en el padrón"
"CS731","Adeudos"
"CS733","El número de placa no se localizó en el padrón"
"CS735","Adeudos"
"CS736","Adeudos"
"CS739","Sin adeudos"
"CS740","Sin adeudos"
"CS742","Sin adeudos"
"CS743","El número de placa no se localizó en el padrón"
"CS746","El número de placa no se localizó en el padrón"
"CS748","Sin adeudos"
"CS749","El número de placa no se localizó en el padrón"
"CS750","Adeudos"
"CS753","Placa anterior: 622KEK"
"CS754","Adeudos"
"CS757","Adeudos"
"CS759","Adeudos"
"CS763","Sin adeudos"
"CS764","Placa anterior: 477PLZ"
"CS772","Placa anterior: 104RNJ"
"CS773","Adeudos"
"CS777","El número de placa no se localizó en el padrón"
"CS781","El número de placa no se localizó en el padrón"
"CS782","Sin adeudos"
"CS784","Sin adeudos"
"CS786","Adeudos"
"CS787","Adeudos"
"CS788","Sin adeudos"
"CS793","Placa anterior: 541MCY"
"CS795","Adeudos"
"CS796","Sin adeudos"
"CS799","Sin adeudos"
"CS801","Adeudos"
"CS802","Adeudos"
"CS803","Sin adeudos"
"CS805","Adeudos"
"CS806","El número de placa no se localizó en el padrón"
"CS807","Placa anterior: 722DVD"
"CS808","El número de placa no se localizó en el padrón"
"CS814","Sin adeudos"
"CS816","Sin adeudos"
"CS822","Sin adeudos"
"CS825","El número de placa no se localizó en el padrón"
"CS829","Placa anterior: 878NWX"
"CS832","Sin adeudos"
"CS835","Adeudos"
"CS836","Sin adeudos"
"CS837","Sin adeudos"
"CS841","Sin adeudos"
"CS844","Adeudos"
"CS855","El número de placa no se localizó en el padrón"
"CS856","Sin adeudos"
"CS858","Sin adeudos"
"CS859","Adeudos"
"CS8599","El número de placa no se localizó en el padrón"
"CS864","Adeudos"
"CS869","Sin adeudos"
"CS877","Sin adeudos"
"CS881","Sin adeudos"
"CS884","Adeudos"
"CS889","Sin adeudos"
"CS894","Adeudos"
"CS901","El número de placa no se localizó en el padrón"
"CS902","Adeudos"
"CS903","Sin adeudos"
"CS905","Sin adeudos"
"CS908","Placa anterior: 360PAT"
"CS913","El número de placa no se localizó en el padrón"
"CS914","Sin adeudos"
"CS915","Sin adeudos"
"CS917","Adeudos"
"CS918","Sin adeudos"
"CS925","Adeudos"
"CS928","Placa anterior: 823TJM"
"CS929","Sin adeudos"
"CS931","El número de placa no se localizó en el padrón"
"CS934","Placa anterior: 666NBR"
"CS939","Sin adeudos"
"CS941","ERROR. Revisar Placa"
"CS943","Sin adeudos"
"CS952","Placa anterior: CN115"
"CS953","Placa anterior: CN133"
"CS955","Sin adeudos"
"CS958","Adeudos"
"CS965","Adeudos"
"CS971","Placa anterior: CN105"
"CS975","Sin adeudos"
"CS976","El número de placa no se localizó en el padrón"
"CS978","El número de placa no se localizó en el padrón"
"CS979","Sin adeudos"
"CS989","Sin adeudos"
"CS997","Adeudos"
"CS999","El número de placa no se localizó en el padrón"
"CT002","Adeudos"
"CT004","Sin adeudos"
"CT006","El número de placa no se localizó en el padrón"
"CT011","El número de placa no se localizó en el padrón"
"CT018","Sin adeudos"
"CT019","Sin adeudos"
"CT020","Adeudos"
"CT021","Placa anterior: 291MUS"
"CT023","Adeudos"
"CT027","Adeudos"
"CT031","Sin adeudos"
"CT036","Placa anterior: 593NTC"
"CT038","Adeudos"
"CT040","El número de placa no se localizó en el padrón"
"CT045","Sin adeudos"
