"placa","estatus"
"C95AHS","Sin adeudos"
"C95AHV","ERROR. Revisar Placa"
"C95AHY","Sin adeudos"
"C95AJA","Sin adeudos"
"C95AJB","Adeudos"
"C95AJC","Sin adeudos"
"C95AJD","Sin adeudos"
"C95AJE","Sin adeudos"
"C95AJG","Adeudos"
"C95AJH","Sin adeudos"
"C95AJM","Adeudos"
"C95AJP","ERROR. Revisar Placa"
"C95AJT","Adeudos"
"C95AJU","ERROR. Revisar Placa"
"C95AJW","Sin adeudos"
"C95AJX","ERROR. Revisar Placa"
"C95AJY","Sin adeudos"
"C95AKA","Sin adeudos"
"C95AKB","Sin adeudos"
"C95AKC","ERROR. Revisar Placa"
"C95AKD","ERROR. Revisar Placa"
"C95AKE","ERROR. Revisar Placa"
"C95AKF","Sin adeudos"
"C95AKG","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C95AKH","Sin adeudos"
"C95AKJ","Sin adeudos"
"C95AKL","Sin adeudos"
"C95AKN","Sin adeudos"
"C95AKP","ERROR. Revisar Placa"
"C95AKR","Adeudos"
"C95AKS","Adeudos"
"C95AKT","Sin adeudos"
"C95AKU","Sin adeudos"
"C95AKV","ERROR. Revisar Placa"
"C95AKW","ERROR. Revisar Placa"
"C95AKX","Placa anterior: 382YHN"
"C95AKY","Sin adeudos"
"C95AKZ","Sin adeudos"
"C95ALA","Sin adeudos"
"C95ALB","Adeudos"
"C95ALC","Adeudos"
"C95ALD","Sin adeudos"
"C95ALE","Sin adeudos"
"C95ALF","Sin adeudos"
"C95ALH","Adeudos"
"C95ALJ","Adeudos"
"C95ALK","Adeudos"
"C95ALL","Sin adeudos"
"C95ALM","Sin adeudos"
"C95ALN","Sin adeudos"
"C95ALR","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C95ALT","Adeudos"
"C95ALU","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C95ALV","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C95ALW","Sin adeudos"
"C95ALY","Adeudos"
"C95ALZ","Adeudos"
"C95AMA","Sin adeudos"
"C95AMB","Sin adeudos"
"C95AMC","Sin adeudos"
"C95AMD","Adeudos"
"C95AMF","Adeudos"
"C95AMG","Sin adeudos"
"C95AMH","Adeudos"
"C95AMJ","Sin adeudos"
"C95AML","Adeudos"
"C95AMN","Placa anterior: C43AFA"
"C95AMP","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C95AMR","ERROR. Revisar Placa"
"C95AMV","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C95AMW","Sin adeudos"
"C95AMX","Adeudos"
"C95AMY","Sin adeudos"
"C95ANA","Adeudos"
"C95ANB","Sin adeudos"
"C95ANC","Adeudos"
"C95AND","Sin adeudos"
"C95ANE","ERROR. Revisar Placa"
"C95ANF","ERROR. Revisar Placa"
"C95ANG","Sin adeudos"
"C95ANH","Adeudos"
"C95ANL","Sin adeudos"
"C95ANN","Sin adeudos"
"C95ANP","Sin adeudos"
"C95ANR","Adeudos"
"C95ANS","Sin adeudos"
"C95ANU","Adeudos"
"C95ANX","Sin adeudos"
"C95ANY","Adeudos"
"C95ANZ","Placa anterior: 439ZKL"
"C95APB","Placa anterior: 289ZGK"
"C95APE","Adeudos"
"C95APF","Sin adeudos"
"C95APG","Adeudos"
"C95APK","Sin adeudos"
"C95APL","Sin adeudos"
"C95APN","Adeudos"
"C95APP","Adeudos"
"C95APR","Sin adeudos"
"C95APS","Sin adeudos"
"C95APT","Adeudos"
"C95APU","Sin adeudos"
"C95APV","Adeudos"
"C95APW","Sin adeudos"
"C95APX","Sin adeudos"
"C95APY","Sin adeudos"
"C95APZ","Sin adeudos"
"C95ARA","Sin adeudos"
"C95ARC","Placa anterior: 704YWA"
"C95ARD","Sin adeudos"
