"placa","estatus"
"C86BEW","ERROR. Revisar Placa"
"C86BEX","Adeudos"
"C86BEZ","Placa anterior: Y81AGT"
"C86BFA","Adeudos"
"C86BFB","Adeudos"
"C86BFE","Adeudos"
"C86BFF","Sin adeudos"
"C86BFG","Sin adeudos"
"C86BFJ","Sin adeudos"
"C86BFK","Sin adeudos"
"C86BFL","Sin adeudos"
"C86BFM","Sin adeudos"
"C86BFS","Sin adeudos"
"C86BFT","Sin adeudos"
"C86BFU","Adeudos"
"C86BFW","Sin adeudos"
"C86BGB","Sin adeudos"
"C86BGC","Sin adeudos"
"C86BGD","Sin adeudos"
"C86BGE","Sin adeudos"
"C86BGK","Sin adeudos"
"C86BGL","Sin adeudos"
"C86BGR","Sin adeudos"
"C86BGX","Sin adeudos"
"C86BGZ","Sin adeudos"
"C86BHB","Sin adeudos"
"C86BHC","ERROR. Revisar Placa"
"C86BHD","ERROR. Revisar Placa"
"C8700","Sin adeudos"
"C8701","Sin adeudos"
"C8702","El número de placa no se localizó en el padrón"
"C8703","El número de placa no se localizó en el padrón"
"C8704","ERROR. Revisar Placa"
"C8705","El número de placa no se localizó en el padrón"
"C8706","Sin adeudos"
"C8707","Sin adeudos"
"C8708","Sin adeudos"
"C8709","Sin adeudos"
"C8710","Sin adeudos"
"C8711","Sin adeudos"
"C8712","Sin adeudos"
"C8713","Sin adeudos"
"C8714","Sin adeudos"
"C8715","Sin adeudos"
"C8716","Sin adeudos"
"C8717","Sin adeudos"
"C8718","El número de placa no se localizó en el padrón"
"C8719","Sin adeudos"
"C8720","Sin adeudos"
"C8721","Sin adeudos"
"C8722","Sin adeudos"
"C8723","Adeudos"
"C8724","Sin adeudos"
"C8725","Sin adeudos"
"C8727","Sin adeudos"
"C8728","Sin adeudos"
"C8729","Sin adeudos"
"C8730","Sin adeudos"
"C8731","Adeudos"
"C8733","Adeudos"
"C8734","Adeudos"
"C8738","Adeudos"
"C8741","Sin adeudos"
"C8748","Adeudos"
"C8758","Adeudos"
"C8762","Adeudos"
"C8769","Sin adeudos"
"C8775","Sin adeudos"
"C8776","Adeudos"
"C8780","Adeudos"
"C87AAA","Adeudos"
"C87AAB","Adeudos"
"C87AAC","Adeudos"
"C87AAD","El número de placa no se localizó en el padrón"
"C87AAE","Adeudos"
"C87AAF","ERROR. Revisar Placa"
"C87AAG","Adeudos"
"C87AAJ","Sin adeudos"
"C87AAK","Adeudos"
"C87AAL","Adeudos"
"C87AAN","Sin adeudos"
"C87AAP","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C87AAR","Sin adeudos"
"C87AAS","Sin adeudos"
"C87AAT","ERROR. Revisar Placa"
"C87AAU","Adeudos"
"C87AAV","El número de placa no se localizó en el padrón"
"C87AAW","ERROR. Revisar Placa"
"C87AAX","Sin adeudos"
"C87AAY","Adeudos"
"C87AAZ","Sin adeudos"
"C87ABA","Adeudos"
"C87ABC","Adeudos"
"C87ABD","Sin adeudos"
"C87ABE","Sin adeudos"
"C87ABF","Adeudos"
"C87ABH","Sin adeudos"
"C87ABJ","Adeudos"
"C87ABK","Adeudos"
"C87ABL","Adeudos"
"C87ABM","Adeudos"
"C87ABN","Sin adeudos"
"C87ABP","Sin adeudos"
"C87ABR","Sin adeudos"
"C87ABS","Adeudos"
"C87ABT","Adeudos"
"C87ABV","Adeudos"
"C87ABW","Sin adeudos"
"C87ABX","Adeudos"
"C87ABY","Sin adeudos"
"C87ABZ","Adeudos"
"C87ACA","El número de placa no se localizó en el padrón"
"C87ACB","Adeudos"
"C87ACD","Sin adeudos"
"C87ACE","Sin adeudos"
"C87ACG","Adeudos"
"C87ACH","Adeudos"
"C87ACJ","Adeudos"
"C87ACK","Placa anterior: 720ZNU"
"C87ACL","Sin adeudos"
"C87ACN","Sin adeudos"
"C87ACP","Sin adeudos"
"C87ACR","Adeudos"
"C87ACS","Adeudos"
"C87ACT","Placa anterior: 592WLA"
"C87ACU","Placa anterior: 250TNA"
"C87ACV","Adeudos"
"C87ACW","Sin adeudos"
"C87ACX","Adeudos"
"C87ACY","Adeudos"
"C87ADB","Sin adeudos"
"C87ADC","Sin adeudos"
"C87ADD","Sin adeudos"
"C87ADE","Adeudos"
"C87ADF","Sin adeudos"
"C87ADH","Adeudos"
"C87ADJ","Adeudos"
"C87ADK","Sin adeudos"
"C87ADL","Adeudos"
"C87ADM","Placa anterior: C87ADM"
"C87ADN","Sin adeudos"
"C87ADP","Sin adeudos"
"C87ADR","Placa anterior: C87ADR"
"C87ADS","Sin adeudos"
"C87ADT","Adeudos"
"C87ADU","Placa anterior: C87ADU"
"C87ADV","Adeudos"
"C87ADW","Sin adeudos"
"C87ADY","Adeudos"
"C87ADZ","Sin adeudos"
"C87AEA","Adeudos"
"C87AEB","Adeudos"
"C87AEC","Sin adeudos"
"C87AED","Sin adeudos"
"C87AEE","Adeudos"
"C87AEF","Adeudos"
"C87AEG","Sin adeudos"
"C87AEH","Adeudos"
"C87AEJ","Sin adeudos"
"C87AEK","ERROR. Revisar Placa"
"C87AEM","Sin adeudos"
"C87AEN","Sin adeudos"
"C87AEP","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C87AER","Adeudos"
"C87AES","Sin adeudos"
"C87AET","Sin adeudos"
"C87AEU","Sin adeudos"
"C87AEV","Adeudos"
"C87AEW","Sin adeudos"
"C87AEX","Sin adeudos"
"C87AEZ","Adeudos"
"C87AFA","Sin adeudos"
"C87AFC","Sin adeudos"
"C87AFD","Adeudos"
"C87AFF","Sin adeudos"
"C87AFH","Adeudos"
"C87AFJ","Adeudos"
"C87AFK","Sin adeudos"
"C87AFL","Adeudos"
"C87AFM","Placa anterior: C87AFM"
"C87AFN","Adeudos"
"C87AFR","Sin adeudos"
"C87AFS","El número de placa no se localizó en el padrón"
"C87AFU","Adeudos"
"C87AFV","Sin adeudos"
"C87AFW","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C87AFX","Adeudos"
"C87AFY","Sin adeudos"
"C87AGA","El número de placa no se localizó en el padrón"
"C87AGB","Adeudos"
"C87AGD","Adeudos"
"C87AGE","Sin adeudos"
"C87AGF","Sin adeudos"
"C87AGG","Sin adeudos"
"C87AGJ","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C87AGK","Adeudos"
"C87AGL","Adeudos"
"C87AGM","Adeudos"
"C87AGN","Sin adeudos"
"C87AGR","Sin adeudos"
"C87AGS","Placa anterior: 600ZFH"
"C87AGT","Sin adeudos"
"C87AGU","Sin adeudos"
"C87AGV","Sin adeudos"
"C87AGX","Adeudos"
"C87AGY","ERROR. Revisar Placa"
"C87AGZ","Adeudos"
"C87AHA","Sin adeudos"
"C87AHC","Sin adeudos"
"C87AHD","Placa anterior: C87AHD"
"C87AHE","Sin adeudos"
"C87AHG","Placa anterior: 942YWJ"
"C87AHM","Sin adeudos"
"C87AHN","Placa anterior: C87AHN"
"C87AHP","Sin adeudos"
"C87AHR","Sin adeudos"
"C87AHS","Adeudos"
"C87AHT","Sin adeudos"
"C87AHU","Adeudos"
"C87AHW","Placa anterior: 362XZM"
"C87AHY","Adeudos"
"C87AHZ","Adeudos"
"C87AJD","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C87AJE","Sin adeudos"
"C87AJF","Sin adeudos"
"C87AJK","Sin adeudos"
"C87AJL","Sin adeudos"
"C87AJM","Adeudos"
"C87AJN","Adeudos"
"C87AJP","Sin adeudos"
"C87AJR","ERROR. Revisar Placa"
"C87AJT","Placa anterior: 508XLG"
"C87AJU","Sin adeudos"
"C87AJW","Sin adeudos"
"C87AJX","Adeudos"
"C87AJY","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C87AJZ","Sin adeudos"
"C87AKA","Adeudos"
"C87AKC","Sin adeudos"
"C87AKE","Adeudos"
"C87AKF","Sin adeudos"
"C87AKJ","Sin adeudos"
"C87AKK","Adeudos"
"C87AKL","Adeudos"
"C87AKP","El número de placa no se localizó en el padrón"
"C87AKR","Sin adeudos"
"C87AKT","Sin adeudos"
"C87AKV","Sin adeudos"
"C87AKW","Sin adeudos"
"C87AKX","Placa anterior: A55AAA"
"C87AKY","Sin adeudos"
"C87AKZ","Adeudos"
"C87ALA","Adeudos"
"C87ALB","Adeudos"
"C87ALE","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C87ALF","Sin adeudos"
"C87ALG","Sin adeudos"
"C87ALH","Sin adeudos"
"C87ALL","Sin adeudos"
"C87ALM","Sin adeudos"
"C87ALN","Sin adeudos"
"C87ALP","Sin adeudos"
"C87ALR","Adeudos"
"C87ALS","Sin adeudos"
"C87ALT","Sin adeudos"
"C87ALU","Sin adeudos"
"C87ALV","Adeudos"
"C87ALW","Sin adeudos"
"C87ALX","Adeudos"
"C87ALY","Sin adeudos"
"C87ALZ","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C87AMA","Sin adeudos"
"C87AMB","Sin adeudos"
"C87AMC","Sin adeudos"
"C87AMD","Adeudos"
"C87AME","Adeudos"
"C87AMG","Sin adeudos"
"C87AMH","Sin adeudos"
"C87AMJ","Adeudos"
"C87AMK","Sin adeudos"
"C87AMN","Sin adeudos"
"C87AMP","Sin adeudos"
"C87AMR","Sin adeudos"
"C87AMT","Placa anterior: 866UNN"
"C87AMV","Sin adeudos"
"C87AMW","Sin adeudos"
"C87AMX","Adeudos"
"C87AMY","Sin adeudos"
"C87AMZ","Adeudos"
"C87ANA","Sin adeudos"
"C87ANB","Adeudos"
"C87ANC","Adeudos"
"C87AND","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C87ANF","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C87ANG","Adeudos"
"C87ANJ","Sin adeudos"
"C87ANK","Sin adeudos"
"C87ANN","Adeudos"
"C87ANP","Adeudos"
"C87ANR","Sin adeudos"
"C87ANS","Sin adeudos"
"C87ANV","Sin adeudos"
"C87ANW","Sin adeudos"
"C87ANX","Sin adeudos"
"C87ANY","Adeudos"
"C87APA","Sin adeudos"
"C87APB","Adeudos"
"C87APF","Sin adeudos"
"C87APG","Adeudos"
"C87APH","Sin adeudos"
"C87APJ","Placa anterior: 858ZHD"
"C87APL","Sin adeudos"
"C87APP","Sin adeudos"
"C87APR","Sin adeudos"
"C87APS","Adeudos"
"C87APT","ERROR. Revisar Placa"
"C87APX","ERROR. Revisar Placa"
"C87APY","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C87APZ","Adeudos"
"C87ARA","Sin adeudos"
"C87ARB","Sin adeudos"
"C87ARD","Adeudos"
"C87ARE","Placa anterior: 744SNP"
"C87ARF","Placa anterior: T97ANC"
"C87ARJ","Adeudos"
"C87ARK","Placa anterior: C87ARK"
"C87ARL","Adeudos"
"C87ARM","Sin adeudos"
"C87ARP","Sin adeudos"
"C87ARR","Sin adeudos"
"C87ARS","Adeudos"
"C87ART","Sin adeudos"
"C87ARV","Adeudos"
"C87ARX","Sin adeudos"
"C87ARY","Placa anterior: 741ZRW"
"C87ARZ","Sin adeudos"
"C87ASA","Placa anterior: 807TF"
"C87ASB","Adeudos"
"C87ASC","Adeudos"
