"placa","estatus"
"C85AKE","Adeudos"
"C85AKF","Sin adeudos"
"C85AKH","Sin adeudos"
"C85AKJ","Sin adeudos"
"C85AKK","ERROR. Revisar Placa"
"C85AKL","Adeudos"
"C85AKN","Adeudos"
"C85AKP","Sin adeudos"
"C85AKR","Sin adeudos"
"C85AKS","Sin adeudos"
"C85AKT","Sin adeudos"
"C85AKU","Sin adeudos"
"C85AKV","Placa anterior: 495XBN"
"C85AKW","Sin adeudos"
"C85AKX","El número de placa no se localizó en el padrón"
"C85AKY","Adeudos"
"C85AKZ","Adeudos"
"C85ALA","Sin adeudos"
"C85ALC","Placa anterior: 113WRK"
"C85ALD","ERROR. Revisar Placa"
"C85ALE","ERROR. Revisar Placa"
"C85ALF","Sin adeudos"
"C85ALG","Sin adeudos"
"C85ALH","Adeudos"
"C85ALL","Adeudos"
"C85ALM","Sin adeudos"
"C85ALN","Adeudos"
"C85ALP","Adeudos"
"C85ALR","Adeudos"
"C85ALT","Sin adeudos"
"C85ALV","Sin adeudos"
"C85ALW","Sin adeudos"
"C85ALX","Adeudos"
"C85ALY","Adeudos"
"C85ALZ","Sin adeudos"
"C85AMB","ERROR. Revisar Placa"
"C85AMC","Sin adeudos"
"C85AMD","Placa anterior: 279PFC"
"C85AMG","Sin adeudos"
"C85AMH","Sin adeudos"
"C85AMJ","Sin adeudos"
"C85AMK","Sin adeudos"
"C85AML","Sin adeudos"
"C85AMM","Sin adeudos"
"C85AMN","Sin adeudos"
"C85AMR","Sin adeudos"
"C85AMS","Adeudos"
"C85AMT","Sin adeudos"
"C85AMU","ERROR. Revisar Placa"
"C85AMV","Sin adeudos"
"C85AMW","EL VEHICULO FUE LOCALIZADO EN EL PADRON FISCAL DEL DISTRITO FEDERAL CON ESTATUS BAJA, ES NECESARIO QUE ACUDA A LA ADMINISTRACION TRIBUTARIA O CENTRO DE SERVICIO DE LA TESORERIA MAS CERCANO A SU DOMICILIO, A FIN DE REGISTRAR LOS DATOS DE SU VEHICULO, PRESENTANDO LOS SIGUIENTES DOCUMENTOS EN ORIGINAL Y COPIA PARA SU COTEJO"
"C85AMX","Adeudos"
"C85AMY","Sin adeudos"
"C85ANA","Adeudos"
"C85ANB","Placa anterior: H42AJS"
"C85AND","Sin adeudos"
"C85ANF","Sin adeudos"
"C85ANG","Adeudos"
"C85ANL","Sin adeudos"
"C85ANN","Sin adeudos"
"C85ANP","Sin adeudos"
"C85ANR","Adeudos"
"C85ANS","Sin adeudos"
"C85ANW","Adeudos"
"C85APC","Sin adeudos"
"C85APD","Sin adeudos"
"C85APF","Sin adeudos"
"C85APH","ERROR. Revisar Placa"
"C85APJ","Adeudos"
"C85APL","Sin adeudos"
"C85APM","Sin adeudos"
"C85APN","Adeudos"
